beach,species,survey_week,beach_section_initials,species_2,total,mean_wrack
SOUTH,SAND,2017-12-18,SSO,SAND,119,0.888888889
SOUTH,SNPL,2017-12-18,SSO,SNPL,24,0.888888889
SOUTH,CAGU,2017-12-18,WAL,Gull,80,1
SOUTH,MEGU,2017-12-18,WAL,NA,10,1
SOUTH,SAND,2017-12-18,WAL,SAND,16,1
SOUTH,SNPL,2017-12-18,WAL,SNPL,24,1
NORTH,CAGU,2014-12-22,MIN,Gull,10,1
NORTH,HEEG,2014-12-22,MIN,Gull,121,1
NORTH,WEGU,2014-12-22,MIN,Gull,5,1
PURISIMA,SAND,2014-12-22,PNO,SAND,28,1.166666667
PURISIMA,SNPL,2014-12-22,PNO,SNPL,12,1.166666667
PURISIMA,WEGU,2014-12-22,PNO,Gull,1,1.166666667
NORTH,CAGU,2014-12-22,SAN,Gull,15,0.725
NORTH,GWGU,2014-12-22,SAN,NA,1,0.725
NORTH,HEEG,2014-12-22,SAN,Gull,68,0.725
NORTH,SAND,2014-12-22,SAN,SAND,12,0.725
NORTH,SNPL,2014-12-22,SAN,SNPL,2,0.725
NORTH,WEGU,2014-12-22,SAN,Gull,23,0.725
NORTH,CAGU,2014-12-22,SHN,Gull,8,1.538461538
NORTH,HEEG,2014-12-22,SHN,Gull,238,1.538461538
NORTH,SAND,2014-12-22,SHN,SAND,1800,1.538461538
NORTH,WEGU,2014-12-22,SHN,Gull,13,1.538461538
NORTH,SAND,2014-12-22,SHS,SAND,1000,1.05
NORTH,SNPL,2014-12-22,SHS,SNPL,10,1.05
NORTH,SAND,2016-12-26,MIN,SAND,80,0.25
NORTH,WEGU,2016-12-26,MIN,Gull,7,0.25
PURISIMA,SAND,2016-12-26,PNO,SAND,5,0.5
PURISIMA,SNPL,2016-12-26,PNO,SNPL,6,0.5
NORTH,CAGU,2016-12-26,SAN,Gull,1,0.3
NORTH,SAND,2016-12-26,SAN,SAND,10,0.3
NORTH,SNPL,2016-12-26,SAN,SNPL,10,0.3
NORTH,SAND,2016-12-26,SHN,SAND,174,0.307692308
NORTH,SNPL,2016-12-26,SHN,SNPL,22,0.307692308
NORTH,SAND,2016-12-26,SHS,SAND,81,0.05
NORTH,SNPL,2016-12-26,SHS,SNPL,14,0.05
NORTH,WEGU,2016-12-26,SHS,Gull,1,0.05
SOUTH,SAND,2016-12-26,SNO,SAND,50,0.7
SOUTH,SNPL,2016-12-26,SNO,SNPL,46,0.7
SOUTH,WEGU,2016-12-26,SNO,Gull,2,0.7
SOUTH,SAND,2016-12-26,SSO,SAND,343,0.722222222
SOUTH,SNPL,2016-12-26,SSO,SNPL,29,0.722222222
SOUTH,WEGU,2016-12-26,SSO,Gull,1,0.722222222
SOUTH,SAND,2016-12-26,WAL,SAND,69,1.423076923
SOUTH,SNPL,2016-12-26,WAL,SNPL,28,1.423076923
SOUTH,WEGU,2016-12-26,WAL,Gull,1,1.423076923
NORTH,CAGU,2013-12-09,MIN,Gull,15,2
NORTH,HEEG,2013-12-09,MIN,Gull,311,2
NORTH,WEGU,2013-12-09,MIN,Gull,10,2
NORTH,SNPL,2013-12-09,SAN,SNPL,36,1.825
NORTH,WEGU,2013-12-09,SAN,Gull,3,1.825
NORTH,CAGU,2013-12-09,SHN,Gull,78,2
NORTH,HEEG,2013-12-09,SHN,Gull,294,2
NORTH,SNPL,2013-12-09,SHN,SNPL,55,2
NORTH,WEGU,2013-12-09,SHN,Gull,98,2
NORTH,CAGU,2013-12-09,SHS,Gull,18,1.85
NORTH,HEEG,2013-12-09,SHS,Gull,13,1.85
NORTH,SNPL,2013-12-09,SHS,SNPL,4,1.85
NORTH,WEGU,2013-12-09,SHS,Gull,14,1.85
SOUTH,SAND,2013-12-09,SNO,SAND,176,0.466666667
SOUTH,SNPL,2013-12-09,SNO,SNPL,66,0.466666667
SOUTH,WEGU,2013-12-09,SNO,Gull,4,0.466666667
SOUTH,CAGU,2013-12-09,SSO,Gull,1,0.833333333
SOUTH,SAND,2013-12-09,SSO,SAND,80,0.833333333
SOUTH,SNPL,2013-12-09,SSO,SNPL,85,0.833333333
SOUTH,WEGU,2013-12-09,SSO,Gull,1,0.833333333
SOUTH,CAGU,2013-12-09,WAL,Gull,150,1.153846154
SOUTH,HEEG,2013-12-09,WAL,Gull,6,1.153846154
SOUTH,SAND,2013-12-09,WAL,SAND,28,1.153846154
SOUTH,SNPL,2013-12-09,WAL,SNPL,54,1.153846154
