survey_week,beach_section_initials,mean
6/18/2012,SNO,2.166666667
6/18/2012,SSO,1.722222222
6/18/2012,WAL,3.08
6/25/2012,MIN,1.75
6/25/2012,PNO,1.666666667
6/25/2012,SAN,1.2
6/25/2012,SHN,1.653846154
6/25/2012,SHS,1
6/25/2012,SNO,1.933333333
6/25/2012,SSO,1.611111111
6/25/2012,WAL,3.692307692
7/2/2012,MIN,1.916666667
7/2/2012,PNO,2
7/2/2012,SAN,1.15
7/2/2012,SHN,2.692307692
7/2/2012,SHS,1.35
7/2/2012,SNO,2.066666667
7/2/2012,SSO,1.722222222
7/2/2012,WAL,3.384615385
7/9/2012,MIN,1.5
7/9/2012,PNO,2.666666667
7/9/2012,SAN,0.975
7/9/2012,SHN,1.692307692
7/9/2012,SHS,0.8
7/9/2012,SNO,1.9
7/9/2012,SSO,1.694444444
7/9/2012,WAL,3.192307692
7/16/2012,MIN,1.75
7/16/2012,PNO,1.666666667
7/16/2012,SAN,0.975
7/16/2012,SHN,1.576923077
7/16/2012,SHS,1.05
7/16/2012,SNO,0.8
7/16/2012,SSO,1.166666667
7/16/2012,WAL,2.423076923
7/23/2012,MIN,1.833333333
7/23/2012,PNO,1.666666667
7/23/2012,SAN,1.25
7/23/2012,SHN,1.423076923
7/23/2012,SHS,1.1
7/23/2012,SNO,1.7
7/23/2012,SSO,1.222222222
7/23/2012,WAL,2.653846154
7/30/2012,MIN,2.666666667
7/30/2012,PNO,2
7/30/2012,SAN,1.62
7/30/2012,SHN,2.423076923
7/30/2012,SHS,1.35
7/30/2012,SNO,1.9
7/30/2012,SSO,1.861111111
7/30/2012,WAL,3.230769231
8/6/2012,MIN,2.416666667
8/6/2012,PNO,2.5
8/6/2012,SAN,1.175
8/6/2012,SHN,1.730769231
8/6/2012,SHS,1.15
8/6/2012,SNO,1.8
8/6/2012,SSO,1.25
8/6/2012,WAL,2.269230769
8/13/2012,MIN,2.083333333
8/13/2012,PNO,2.333333333
8/13/2012,SAN,1.6
8/13/2012,SHN,1.538461538
8/13/2012,SHS,0.8
8/13/2012,SNO,1.9
8/13/2012,SSO,1.638888889
8/13/2012,WAL,4.269230769
8/20/2012,MIN,1.833333333
8/20/2012,PNO,2.666666667
8/20/2012,SAN,1.9
8/20/2012,SHN,1.384615385
8/20/2012,SHS,1.05
8/20/2012,SNO,2.466666667
8/20/2012,SSO,2.027777778
8/20/2012,WAL,2.884615385
8/27/2012,MIN,2.083333333
8/27/2012,PNO,2.5
8/27/2012,SAN,1.525
8/27/2012,SHN,2.153846154
8/27/2012,SHS,1.5
8/27/2012,SNO,2.3
8/27/2012,SSO,1.861111111
8/27/2012,WAL,3
9/3/2012,SNO,2.333333333
9/3/2012,SSO,1.777777778
9/3/2012,WAL,2.807692308
9/10/2012,SNO,2.566666667
9/10/2012,SSO,2.25
9/10/2012,WAL,2.961538462
9/17/2012,MIN,2.5
9/17/2012,PNO,1.5
9/17/2012,SAN,1.8
9/17/2012,SHN,1.730769231
9/17/2012,SHS,1.2
3/11/2013,MIN,1
3/11/2013,PNO,1
3/11/2013,SAN,1.315789474
3/11/2013,SHN,1.423076923
3/11/2013,SHS,1
3/11/2013,SNO,0.966666667
3/11/2013,SSO,1.083333333
3/11/2013,WAL,1.038461538
3/18/2013,MIN,1
3/18/2013,SAN,0.857142857
3/18/2013,SHN,0.884615385
3/18/2013,SHS,0.5
3/18/2013,SNO,1.1
3/18/2013,SSO,1.111111111
3/18/2013,WAL,0.846153846
3/25/2013,MIN,0.166666667
3/25/2013,PNO,1.666666667
3/25/2013,SAN,1
3/25/2013,SHN,0.653846154
3/25/2013,SHS,0.25
3/25/2013,SNO,1.666666667
3/25/2013,SSO,1.055555556
3/25/2013,WAL,1.384615385
4/1/2013,MIN,1.833333333
4/1/2013,PNO,1.666666667
4/1/2013,SAN,1
4/1/2013,SHN,2.115384615
4/1/2013,SHS,1.45
4/1/2013,SNO,1.266666667
4/1/2013,SSO,1
4/1/2013,WAL,1.115384615
4/8/2013,MIN,1.416666667
4/8/2013,PNO,2.833333333
4/8/2013,SAN,2.155172414
4/8/2013,SHN,1.884615385
4/8/2013,SHS,1.4
4/8/2013,SNO,2.233333333
4/8/2013,SSO,2.305555556
4/8/2013,WAL,1.666666667
4/15/2013,MIN,1
4/15/2013,PNO,2.5
4/15/2013,SAN,1.875
4/15/2013,SHN,1.115384615
4/15/2013,SHS,1.15
4/15/2013,SNO,1.9
4/15/2013,SSO,2.416666667
4/15/2013,WAL,1.576923077
4/22/2013,MIN,1.25
4/22/2013,PNO,0.5
4/22/2013,SAN,1.15
4/22/2013,SHN,2.307692308
4/22/2013,SHS,1.7
4/22/2013,SNO,1.4
4/22/2013,SSO,1.3
4/22/2013,WAL,1.884615385
4/29/2013,MIN,2.25
4/29/2013,PNO,2.166666667
4/29/2013,SAN,1.475
4/29/2013,SHN,2.346153846
4/29/2013,SHS,1.45
4/29/2013,SNO,2.428571429
4/29/2013,SSO,2.416666667
4/29/2013,WAL,2.576923077
5/6/2013,MIN,1.666666667
5/6/2013,PNO,2.166666667
5/6/2013,SAN,1.2
5/6/2013,SHN,1.884615385
5/6/2013,SHS,1.8
5/6/2013,SNO,2.1
5/6/2013,SSO,1.944444444
5/6/2013,WAL,2.384615385
5/13/2013,MIN,1.833333333
5/13/2013,PNO,1
5/13/2013,SAN,1.2
5/13/2013,SHN,1.692307692
5/13/2013,SHS,1.6
5/13/2013,SNO,1.733333333
5/13/2013,SSO,1.138888889
5/13/2013,WAL,3.038461538
5/20/2013,MIN,2.5
5/20/2013,PNO,2.5
5/20/2013,SAN,1.25
5/20/2013,SHN,2.076923077
5/20/2013,SHS,1.4
5/20/2013,SNO,2.5
5/20/2013,SSO,2.305555556
5/20/2013,WAL,3.076923077
6/3/2013,MIN,2
6/3/2013,PNO,3
6/3/2013,SAN,1.525
6/3/2013,SHN,2.461538462
6/3/2013,SHS,2
6/3/2013,SNO,1.8
6/3/2013,SSO,1.277777778
6/3/2013,WAL,2.923076923
6/10/2013,MIN,2.5
6/10/2013,PNO,2
6/10/2013,SAN,1.523809524
6/10/2013,SHN,2.769230769
6/10/2013,SHS,2.3
6/10/2013,SNO,2.785714286
6/10/2013,SSO,2.111111111
6/10/2013,WAL,2.5
6/17/2013,SNO,4
6/17/2013,WAL,3.384615385
6/24/2013,MIN,2
6/24/2013,PNO,2.666666667
6/24/2013,SAN,2
6/24/2013,SHN,1.923076923
6/24/2013,SHS,1.7
6/24/2013,SNO,2.533333333
6/24/2013,SSO,2
6/24/2013,WAL,2.923076923
7/1/2013,MIN,2.166666667
7/1/2013,PNO,3.333333333
7/1/2013,SAN,1.857142857
7/1/2013,SHN,2.230769231
7/1/2013,SHS,2
7/1/2013,SSO,1.944444444
7/8/2013,MIN,2.166666667
7/8/2013,PNO,2.666666667
7/8/2013,SAN,1.55
7/8/2013,SHN,1.615384615
7/8/2013,SHS,1
7/8/2013,SNO,2.8
7/8/2013,SSO,2.472222222
7/8/2013,WAL,2.884615385
7/15/2013,MIN,1.5
7/15/2013,PNO,2.666666667
7/15/2013,SAN,1.8
7/15/2013,SHN,1.192307692
7/15/2013,SHS,1.05
7/15/2013,SNO,1.7
7/15/2013,SSO,1.75
7/15/2013,WAL,2.115384615
7/22/2013,MIN,1
7/22/2013,PNO,1.333333333
7/22/2013,SAN,1.65
7/22/2013,SHN,2
7/22/2013,SHS,1.9
7/22/2013,SNO,2.266666667
7/22/2013,SSO,1.888888889
7/22/2013,WAL,2.5
7/29/2013,MIN,2.333333333
7/29/2013,PNO,2
7/29/2013,SAN,1.85
7/29/2013,SHN,2.423076923
7/29/2013,SHS,1.7
7/29/2013,SSO,1.941176471
7/29/2013,WAL,3.5
8/5/2013,MIN,2.083333333
8/5/2013,PNO,2.666666667
8/5/2013,SAN,1.8
8/5/2013,SHN,2.153846154
8/5/2013,SHS,2
8/5/2013,SNO,3.533333333
8/5/2013,SSO,2.666666667
8/5/2013,WAL,3.461538462
8/12/2013,MIN,1
8/12/2013,PNO,3
8/12/2013,SAN,2.325
8/12/2013,SHN,1.538461538
8/12/2013,SHS,1.7
8/12/2013,SNO,1.9
8/12/2013,SSO,1.194444444
8/12/2013,WAL,2.384615385
8/19/2013,MIN,2.5
8/19/2013,PNO,2
8/19/2013,SAN,1.80952381
8/19/2013,SHN,1.846153846
8/19/2013,SHS,1.9
8/19/2013,SNO,2.6875
8/19/2013,SSO,1.628571429
8/19/2013,WAL,2.884615385
8/26/2013,MIN,2.5
8/26/2013,PNO,2.333333333
8/26/2013,SAN,1.5
8/26/2013,SHN,1.846153846
8/26/2013,SHS,1.9
8/26/2013,SNO,2.033333333
8/26/2013,SSO,2.058139535
8/26/2013,WAL,2.769230769
9/2/2013,MIN,3.166666667
9/2/2013,PNO,2.333333333
9/2/2013,SAN,2.325
9/2/2013,SHN,3.038461538
9/2/2013,SHS,3.2
9/2/2013,SNO,3.666666667
9/2/2013,SSO,2.111111111
9/2/2013,WAL,4.807692308
9/9/2013,MIN,1.916666667
9/9/2013,PNO,1.333333333
9/9/2013,SAN,1.675
9/9/2013,SHN,1.923076923
9/9/2013,SHS,2.4
9/9/2013,SNO,2.333333333
9/9/2013,SSO,3
9/9/2013,WAL,1.538461538
9/16/2013,MIN,2.5
9/16/2013,PNO,3
9/16/2013,SAN,2.166666667
9/16/2013,SHN,1.076923077
9/16/2013,SHS,1
9/16/2013,SNO,3.5
9/16/2013,SSO,2.25
9/16/2013,WAL,5
9/23/2013,MIN,2.5
9/23/2013,PNO,3.333333333
9/23/2013,SAN,2.428571429
9/23/2013,SHN,1.384615385
9/23/2013,SHS,1.2
9/23/2013,SNO,3
9/23/2013,SSO,2
9/23/2013,WAL,2.384615385
9/30/2013,SSO,2.666666667
10/21/2013,MIN,2.833333333
10/21/2013,PNO,3.5
10/21/2013,SAN,1.95
10/21/2013,SHN,1.461538462
10/21/2013,SHS,1.2
10/21/2013,SNO,3.5
10/21/2013,SSO,2.5
10/21/2013,WAL,4.538461538
11/11/2013,MIN,2.416666667
11/11/2013,PNO,2.5
11/11/2013,SAN,1.4
11/11/2013,SHN,2.423076923
11/11/2013,SHS,1
11/11/2013,SNO,1.933333333
11/11/2013,SSO,0.194444444
11/11/2013,WAL,2.615384615
12/9/2013,MIN,2
12/9/2013,SAN,1.825
12/9/2013,SHN,2
12/9/2013,SHS,1.85
12/9/2013,SNO,0.466666667
12/9/2013,SSO,0.833333333
12/9/2013,WAL,1.153846154
1/20/2014,MIN,2.166666667
1/20/2014,PNO,1
1/20/2014,SAN,1.3
1/20/2014,SHN,2.230769231
1/20/2014,SHS,1
1/20/2014,SNO,1
1/20/2014,SSO,1.638888889
1/20/2014,WAL,1.769230769
2/10/2014,MIN,2.166666667
2/10/2014,PNO,2
2/10/2014,SAN,1.775
2/10/2014,SHN,1.576923077
2/10/2014,SHS,1.05
2/10/2014,SNO,2.4
2/10/2014,SSO,2.083333333
2/10/2014,WAL,2.307692308
3/3/2014,MIN,1.5
3/3/2014,PNO,1
3/3/2014,SAN,1.275
3/3/2014,SHN,3.230769231
3/3/2014,SHS,3.65
3/3/2014,SNO,1.8
3/3/2014,SSO,2.027777778
3/3/2014,WAL,2
3/10/2014,MIN,1.166666667
3/10/2014,PNO,2.166666667
3/10/2014,SAN,1.684210526
3/10/2014,SHN,1.576923077
3/10/2014,SHS,1.2
3/10/2014,SNO,1.333333333
3/10/2014,SSO,2.25
3/10/2014,WAL,2.038461538
3/17/2014,MIN,0.916666667
3/17/2014,PNO,2
3/17/2014,SAN,1.2
3/17/2014,SHN,1.384615385
3/17/2014,SHS,1.1
3/17/2014,SNO,1.066666667
3/17/2014,SSO,1.027777778
3/17/2014,WAL,0.884615385
3/24/2014,MIN,1.666666667
3/24/2014,PNO,2.333333333
3/24/2014,SAN,1.625
3/24/2014,SHN,1.923076923
3/24/2014,SHS,1.25
3/24/2014,SNO,1.166666667
3/24/2014,SSO,1.416666667
3/24/2014,WAL,1.692307692
3/31/2014,MIN,1
3/31/2014,PNO,1.666666667
3/31/2014,SAN,1.475
3/31/2014,SHN,0.961538462
3/31/2014,SHS,0.8
3/31/2014,SNO,1.3
3/31/2014,SSO,0.694444444
3/31/2014,WAL,1.153846154
4/7/2014,MIN,0.916666667
4/7/2014,PNO,1.833333333
4/7/2014,SAN,1.075
4/7/2014,SHN,1.153846154
4/7/2014,SHS,0.8
4/7/2014,SNO,1.066666667
4/7/2014,SSO,1.083333333
4/7/2014,WAL,1.769230769
4/14/2014,MIN,2
4/14/2014,PNO,2.333333333
4/14/2014,SAN,1.225
4/14/2014,SHN,2.346153846
4/14/2014,SHS,2.05
4/14/2014,SNO,2.633333333
4/14/2014,SSO,1.277777778
4/14/2014,WAL,3.5
4/21/2014,MIN,1
4/21/2014,PNO,1.666666667
4/21/2014,SAN,2
4/21/2014,SHN,1
4/21/2014,SNO,2.6
4/21/2014,SSO,2.555555556
4/21/2014,WAL,2
5/5/2014,WAL,2.923076923
5/12/2014,MIN,1.833333333
5/12/2014,PNO,1.666666667
5/12/2014,SAN,1.45
5/12/2014,SHN,1.846153846
5/12/2014,SHS,1.8
5/12/2014,SNO,1.266666667
5/12/2014,SSO,2
5/12/2014,WAL,2.5
5/19/2014,MIN,1
5/19/2014,PNO,1.333333333
5/19/2014,SAN,1.35
5/19/2014,SHN,1
5/19/2014,SHS,0.85
5/19/2014,SNO,1
5/19/2014,SSO,2.388888889
5/19/2014,WAL,1.269230769
5/26/2014,MIN,1.5
5/26/2014,PNO,2
5/26/2014,SAN,1.5
5/26/2014,SHN,1.846153846
5/26/2014,SHS,1.7
5/26/2014,SNO,2
5/26/2014,SSO,2.555555556
5/26/2014,WAL,1
6/2/2014,MIN,1.666666667
6/2/2014,PNO,3
6/2/2014,SAN,1.45
6/2/2014,SHN,1.538461538
6/2/2014,SHS,1.6
6/2/2014,SNO,2.2
6/2/2014,SSO,2.5
6/2/2014,WAL,1.384615385
6/9/2014,MIN,1.166666667
6/9/2014,PNO,2
6/9/2014,SAN,1.65
6/9/2014,SHN,1.076923077
6/9/2014,SHS,1.1
6/9/2014,SNO,2.066666667
6/9/2014,SSO,1.111111111
6/9/2014,WAL,2.923076923
6/16/2014,MIN,1.5
6/16/2014,PNO,1.666666667
6/16/2014,SAN,1.35
6/16/2014,SHN,1.923076923
6/16/2014,SHS,1.3
6/16/2014,SNO,1.533333333
6/16/2014,SSO,2.277777778
6/16/2014,WAL,3
6/23/2014,MIN,1.5
6/23/2014,PNO,2.5
6/23/2014,SAN,0.944444444
6/23/2014,SHN,2
6/23/2014,SHS,1.4
6/23/2014,SNO,2.7
6/23/2014,SSO,2.444444444
6/23/2014,WAL,3.375
7/7/2014,MIN,2.833333333
7/7/2014,PNO,2.333333333
7/7/2014,SAN,1.15
7/7/2014,SHN,1.923076923
7/7/2014,SHS,1.4
7/7/2014,SNO,1.2
7/7/2014,SSO,2.055555556
7/7/2014,WAL,3.384615385
7/14/2014,PNO,1.666666667
7/14/2014,SAN,1.05
7/14/2014,SNO,1.2
7/14/2014,WAL,1.384615385
7/21/2014,SNO,1.666666667
7/21/2014,SSO,1.388888889
8/4/2014,MIN,2.666666667
8/4/2014,PNO,1.666666667
8/4/2014,SAN,1.15
8/4/2014,SHN,1.846153846
8/4/2014,SHS,1.8
8/4/2014,SNO,1.916666667
8/4/2014,SSO,1.777777778
8/4/2014,WAL,3.384615385
8/18/2014,MIN,2
8/18/2014,PNO,1.333333333
8/18/2014,SAN,1.45
8/18/2014,SHN,1.923076923
8/18/2014,SHS,1.1
8/18/2014,SNO,1.466666667
8/18/2014,SSO,2
8/18/2014,WAL,2.692307692
9/1/2014,MIN,2
9/1/2014,PNO,1.666666667
9/1/2014,SAN,1.75
9/1/2014,SHN,1.346153846
9/1/2014,SHS,1.05
9/1/2014,SNO,2.2
9/1/2014,SSO,2.166666667
9/1/2014,WAL,3.038461538
9/15/2014,MIN,1.166666667
9/15/2014,PNO,2
9/15/2014,SAN,1.5
9/15/2014,SHN,1.230769231
9/15/2014,SHS,0.9
9/15/2014,SNO,1.466666667
9/15/2014,SSO,0.916666667
9/15/2014,WAL,2.615384615
10/20/2014,MIN,2.833333333
10/20/2014,PNO,2
10/20/2014,SAN,2.225
10/20/2014,SHN,3
10/20/2014,SHS,2.35
10/20/2014,SNO,2.3
10/20/2014,SSO,2.361111111
10/20/2014,WAL,3.461538462
11/24/2014,MIN,1.916666667
11/24/2014,PNO,3
11/24/2014,SAN,1.333333333
11/24/2014,SHN,1.807692308
11/24/2014,SHS,1.55
11/24/2014,SNO,2.2
11/24/2014,SSO,1.944444444
11/24/2014,WAL,2.153846154
12/15/2014,SNO,1.133333333
12/15/2014,SSO,0.75
12/15/2014,WAL,1.769230769
12/22/2014,MIN,1
12/22/2014,PNO,1.166666667
12/22/2014,SAN,0.725
12/22/2014,SHN,1.538461538
12/22/2014,SHS,1.05
1/19/2015,MIN,0.75
1/19/2015,PNO,1.333333333
1/19/2015,SAN,0.95
1/19/2015,SHN,1.653846154
1/19/2015,SHS,1.1
1/19/2015,SNO,2.166666667
1/19/2015,SSO,2
1/19/2015,WAL,1.615384615
2/16/2015,SNO,0.866666667
2/16/2015,SSO,1.111111111
2/16/2015,WAL,1
3/9/2015,MIN,1
3/9/2015,PNO,1
3/9/2015,SAN,0.775
3/9/2015,SHN,0.961538462
3/9/2015,SHS,0.8
3/9/2015,SNO,1.466666667
3/9/2015,SSO,1.083333333
3/9/2015,WAL,1.769230769
3/16/2015,MIN,1
3/16/2015,PNO,1
3/16/2015,SAN,0.8
3/16/2015,SHN,1.230769231
3/16/2015,SHS,0.9
3/16/2015,SNO,1.533333333
3/16/2015,SSO,1.944444444
3/16/2015,WAL,1.692307692
3/23/2015,MIN,1
3/23/2015,PNO,0.333333333
3/23/2015,SAN,0.35
3/23/2015,SHN,0.807692308
3/23/2015,SHS,0.5
3/23/2015,SNO,1.166666667
3/23/2015,SSO,1.5
3/23/2015,WAL,0.923076923
3/30/2015,MIN,1.833333333
3/30/2015,PNO,1.166666667
3/30/2015,SAN,0.7
3/30/2015,SHN,0.615384615
3/30/2015,SHS,0.65
3/30/2015,SNO,1.533333333
3/30/2015,SSO,1.555555556
3/30/2015,WAL,1
4/6/2015,MIN,0.25
4/6/2015,PNO,1.166666667
4/6/2015,SAN,0.875
4/6/2015,SHN,0.461538462
4/6/2015,SHS,0.6
4/6/2015,SNO,1.3
4/6/2015,SSO,1.083333333
4/6/2015,WAL,1.461538462
4/13/2015,MIN,0.5
4/13/2015,PNO,1.166666667
4/13/2015,SAN,0.85
4/13/2015,SHN,0.769230769
4/13/2015,SHS,0.6
4/13/2015,SNO,1.666666667
4/13/2015,SSO,1.694444444
4/13/2015,WAL,1.307692308
4/20/2015,MIN,0.5
4/20/2015,PNO,0.333333333
4/20/2015,SAN,0.575
4/20/2015,SHN,0.653846154
4/20/2015,SHS,0.9
4/20/2015,SNO,1.433333333
4/20/2015,SSO,1.222222222
4/20/2015,WAL,1.461538462
4/27/2015,MIN,0.75
4/27/2015,PNO,1.5
4/27/2015,SAN,0.95
4/27/2015,SHN,0.692307692
4/27/2015,SHS,0.6
4/27/2015,SNO,1.2
4/27/2015,SSO,1.555555556
4/27/2015,WAL,2.115384615
5/4/2015,MIN,1.166666667
5/4/2015,PNO,1.333333333
5/4/2015,SAN,1.2
5/4/2015,SHN,0.961538462
5/4/2015,SHS,1.3
5/11/2015,MIN,1.5
5/11/2015,PNO,1.166666667
5/11/2015,SAN,0.8
5/11/2015,SHN,0.807692308
5/11/2015,SHS,0.6
5/11/2015,SNO,1.133333333
5/11/2015,SSO,1.666666667
5/11/2015,WAL,1.384615385
5/18/2015,MIN,1.083333333
5/18/2015,PNO,1.166666667
5/18/2015,SAN,1.225
5/18/2015,SHN,1.692307692
5/18/2015,SHS,1.55
5/18/2015,SNO,1.933333333
5/18/2015,SSO,2.138888889
5/18/2015,WAL,2.346153846
5/25/2015,MIN,1.25
5/25/2015,PNO,1.666666667
5/25/2015,SAN,1.025
5/25/2015,SHN,1
5/25/2015,SHS,1
5/25/2015,SNO,1.928571429
5/25/2015,SSO,1.888888889
5/25/2015,WAL,1.769230769
6/1/2015,MIN,1.166666667
6/1/2015,PNO,0.666666667
6/1/2015,SAN,0.575
6/1/2015,SHN,0.538461538
6/1/2015,SHS,0.75
6/1/2015,SNO,1.733333333
6/1/2015,SSO,1.388888889
6/1/2015,WAL,2.5
6/8/2015,MIN,1.916666667
6/8/2015,PNO,1.166666667
6/8/2015,SAN,0.525
6/8/2015,SHN,0.576923077
6/8/2015,SHS,0.55
6/8/2015,SNO,1.266666667
6/8/2015,SSO,1.222222222
6/8/2015,WAL,2.115384615
6/22/2015,MIN,1
6/22/2015,PNO,1.666666667
6/22/2015,SAN,1.275
6/22/2015,SHN,1.166666667
6/22/2015,SHS,0.75
6/29/2015,SNO,1.966666667
6/29/2015,SSO,0.777777778
6/29/2015,WAL,2.307692308
7/6/2015,MIN,1.5
7/6/2015,PNO,2.333333333
7/6/2015,SAN,1.05
7/6/2015,SHN,0.692307692
7/6/2015,SHS,1
7/13/2015,SNO,1.6
7/13/2015,SSO,1.972222222
7/13/2015,WAL,2.615384615
7/20/2015,MIN,1.5
7/20/2015,PNO,1.833333333
7/20/2015,SAN,1.175
7/20/2015,SHN,0.769230769
7/20/2015,SHS,1.1
7/27/2015,SNO,1.666666667
7/27/2015,SSO,1.5
7/27/2015,WAL,2.307692308
8/3/2015,MIN,1.75
8/3/2015,PNO,1.333333333
8/3/2015,SAN,1.7
8/3/2015,SHN,1.384615385
8/3/2015,SHS,1.8
8/10/2015,SNO,2.066666667
8/10/2015,SSO,0.75
8/10/2015,WAL,2.769230769
8/17/2015,MIN,1.333333333
8/17/2015,PNO,2
8/17/2015,SAN,1.075
8/17/2015,SHN,1.384615385
8/17/2015,SHS,1.4
8/24/2015,SNO,1.966666667
8/24/2015,SSO,2.527777778
8/24/2015,WAL,1.653846154
8/31/2015,MIN,1.583333333
8/31/2015,PNO,2
8/31/2015,SAN,1.7
8/31/2015,SHN,1.346153846
8/31/2015,SHS,1.8
9/7/2015,SNO,1.233333333
9/7/2015,SSO,1.527777778
9/7/2015,WAL,2.153846154
9/14/2015,MIN,1.5
9/14/2015,PNO,1.666666667
9/14/2015,SAN,1.7
9/14/2015,SHN,1.384615385
9/14/2015,SHS,1.3
9/21/2015,SNO,1.533333333
9/21/2015,SSO,1.277777778
9/21/2015,WAL,1.538461538
10/19/2015,MIN,1.666666667
10/19/2015,PNO,2.666666667
10/19/2015,SAN,1.875
10/19/2015,SHN,1.384615385
10/19/2015,SHS,1.3
10/19/2015,SNO,0.966666667
10/19/2015,SSO,1.361111111
10/19/2015,WAL,1.346153846
11/16/2015,MIN,1
11/16/2015,PNO,0.5
11/16/2015,SAN,0.25
11/16/2015,SHN,0.384615385
11/16/2015,SHS,0
11/16/2015,SNO,1.066666667
11/16/2015,SSO,0.805555556
11/16/2015,WAL,0.961538462
12/14/2015,MIN,0.833333333
12/14/2015,PNO,0.666666667
12/14/2015,SAN,1.6
12/14/2015,SHN,1.5
12/14/2015,SHS,1.55
12/14/2015,SNO,1
12/14/2015,SSO,1.222222222
12/14/2015,WAL,1.461538462
1/18/2016,MIN,0.083333333
1/18/2016,PNO,0.666666667
1/18/2016,SAN,0.625
1/18/2016,SHN,0
1/18/2016,SHS,0.1
1/18/2016,SNO,0.133333333
1/18/2016,SSO,0.25
1/18/2016,WAL,0.538461538
2/15/2016,MIN,0
2/15/2016,PNO,0.333333333
2/15/2016,SAN,0.05
2/15/2016,SHN,0.192307692
2/15/2016,SHS,0
2/15/2016,SNO,0.3
2/15/2016,SSO,0.333333333
2/15/2016,WAL,0.576923077
2/29/2016,SNO,0.4
2/29/2016,SSO,0.527777778
2/29/2016,WAL,0.538461538
3/7/2016,MIN,0.583333333
3/7/2016,PNO,0.5
3/7/2016,SAN,0.6
3/7/2016,SHN,0.653846154
3/7/2016,SHS,0.7
3/14/2016,SNO,0.166666667
3/14/2016,SSO,0.527777778
3/14/2016,WAL,0.769230769
3/21/2016,MIN,0.833333333
3/21/2016,PNO,0.5
3/21/2016,SAN,0.5
3/21/2016,SHN,0.5
3/21/2016,SHS,0.45
3/28/2016,SNO,0.566666667
3/28/2016,SSO,0.916666667
3/28/2016,WAL,0.461538462
4/4/2016,MIN,0.416666667
4/4/2016,PNO,0.166666667
4/4/2016,SAN,0.125
4/4/2016,SHN,0.538461538
4/4/2016,SHS,0.1
4/11/2016,SNO,0.9
4/11/2016,SSO,0.444444444
4/11/2016,WAL,0.653846154
4/18/2016,MIN,0.333333333
4/18/2016,PNO,0.166666667
4/18/2016,SAN,0.25
4/18/2016,SHN,0.269230769
4/18/2016,SHS,0
4/25/2016,SNO,1.033333333
