survey_week,beach_section_initials,beach,species,species_type,total
2018-01-22,MIN,NORTH,CAGU,Gull,1
2018-01-22,MIN,NORTH,SAND,Shorebird,22
2018-01-22,MIN,NORTH,SNPL,Shorebird,4
2018-01-22,PNO,PURISIMA,RTHA,Raptor,1
2018-01-22,SAN,NORTH,SAND,Shorebird,136
2018-01-22,SAN,NORTH,SNPL,Shorebird,9
2018-01-22,SAN,NORTH,WEGU,Gull,2
2018-01-22,SHN,NORTH,BBPL,Shorebird,6
2018-01-22,SHN,NORTH,LBCU,Shorebird,3
2018-01-22,SHN,NORTH,SAND,Shorebird,152
2018-01-22,SHN,NORTH,SNPL,Shorebird,24
2018-01-22,SHS,NORTH,SAND,Shorebird,30
2018-01-22,SNO,SOUTH,BBPL,Shorebird,1
2018-01-22,SNO,SOUTH,SAND,Shorebird,170
2018-01-22,SNO,SOUTH,SNPL,Shorebird,36
2018-01-22,SSO,SOUTH,SAND,Shorebird,67
2018-01-22,SSO,SOUTH,SNPL,Shorebird,23
2018-01-22,WAL,SOUTH,BBPL,Shorebird,9
2018-01-22,WAL,SOUTH,CAGU,Gull,10
2018-01-22,WAL,SOUTH,HERG,Gull,6
2018-01-22,WAL,SOUTH,LESA,Shorebird,1
2018-01-22,WAL,SOUTH,SAND,Shorebird,101
2018-01-22,WAL,SOUTH,SNPL,Shorebird,21
2018-01-22,WAL,SOUTH,WEGU,Gull,6
2018-01-22,WAL,SOUTH,YELL,Shorebird,1
2017-01-23,PNO,PURISIMA,SAND,Shorebird,12
2017-01-23,PNO,PURISIMA,SNPL,Shorebird,1
2017-01-23,PNO,PURISIMA,WESA,Shorebird,2
2017-01-23,SAN,NORTH,SAND,Shorebird,46
2017-01-23,SAN,NORTH,SNPL,Shorebird,46
2017-01-23,SHN,NORTH,SAND,Shorebird,155
2017-01-23,SHN,NORTH,SNPL,Shorebird,1
2017-01-23,SHS,NORTH,SAND,Shorebird,134
2017-01-23,SHS,NORTH,SNPL,Shorebird,8
2017-01-23,SNO,SOUTH,RTHA,Raptor,1
2017-01-23,SNO,SOUTH,SAND,Shorebird,122
2017-01-23,SNO,SOUTH,SNPL,Shorebird,26
2017-01-23,SNO,SOUTH,WEGU,Gull,8
2017-01-23,SSO,SOUTH,SAND,Shorebird,14
2017-01-23,SSO,SOUTH,SNPL,Shorebird,23
2017-01-23,WAL,SOUTH,CAGU,Gull,33
2017-01-23,WAL,SOUTH,CATE,Tern,3
2017-01-23,WAL,SOUTH,HEEG,Gull,5
2017-01-23,WAL,SOUTH,HERG,Gull,4
2017-01-23,WAL,SOUTH,LESA,Shorebird,6
2017-01-23,WAL,SOUTH,MEGU,Gull,4
2017-01-23,WAL,SOUTH,RBGU,Gull,1
2017-01-23,WAL,SOUTH,SAND,Shorebird,74
2017-01-23,WAL,SOUTH,SNPL,Shorebird,38
2017-01-23,WAL,SOUTH,WEGU,Gull,60
2019-01-28,MIN,NORTH,SAND,Shorebird,55
2019-01-28,MIN,NORTH,SNPL,Shorebird,1
2019-01-28,PNO,PURISIMA,BBPL,Shorebird,3
2019-01-28,PNO,PURISIMA,SAND,Shorebird,20
2019-01-28,PNO,PURISIMA,SNPL,Shorebird,5
2019-01-28,SAN,NORTH,BBPL,Shorebird,4
2019-01-28,SAN,NORTH,SAND,Shorebird,80
2019-01-28,SAN,NORTH,SNPL,Shorebird,74
2019-01-28,SAN,NORTH,WEGU,Gull,1
2019-01-28,SHN,NORTH,LBCU,Shorebird,1
2019-01-28,SHN,NORTH,SAND,Shorebird,56
2019-01-28,SHN,NORTH,SNPL,Shorebird,10
2019-01-28,SHS,NORTH,SAND,Shorebird,50
2019-01-28,SHS,NORTH,SNPL,Shorebird,1
2019-01-28,SNO,SOUTH,SAND,Shorebird,40
2019-01-28,SNO,SOUTH,SNPL,Shorebird,119
2019-01-28,SNO,SOUTH,WEGU,Gull,1
2019-01-28,SSO,SOUTH,LBCU,Shorebird,16
2019-01-28,SSO,SOUTH,SAND,Shorebird,142
2019-01-28,SSO,SOUTH,SNPL,Shorebird,36
2019-01-28,WAL,SOUTH,RTHA,Raptor,1
2019-01-28,WAL,SOUTH,SAND,Shorebird,25
2019-01-28,WAL,SOUTH,SNPL,Shorebird,44
2019-01-28,WAL,SOUTH,WEGU,Gull,4
2019-01-28,WAL,SOUTH,WHIM,Shorebird,1
2018-10-15,MIN,NORTH,CAGU,Gull,145
2018-10-15,MIN,NORTH,HEEG,Gull,1
2018-10-15,MIN,NORTH,HERG,Gull,15
2018-10-15,MIN,NORTH,ROTE,Tern,10
2018-10-15,MIN,NORTH,SAND,Shorebird,85
2018-10-15,MIN,NORTH,SNPL,Shorebird,23
2018-10-15,MIN,NORTH,WEGU,Gull,41
2018-10-15,SAN,NORTH,AMKE,Raptor,1
2018-10-15,SAN,NORTH,SAND,Shorebird,20
2018-10-15,SAN,NORTH,SNPL,Shorebird,45
2018-10-15,SAN,NORTH,WEGU,Gull,2
2018-10-15,SHN,NORTH,KILL,Shorebird,1
2018-10-15,SHN,NORTH,SAND,Shorebird,180
2018-10-15,SHN,NORTH,SNPL,Shorebird,28
2018-10-15,SHN,NORTH,WEGU,Gull,2
2018-10-15,SHS,NORTH,BBPL,Shorebird,5
2018-10-15,SHS,NORTH,CAGU,Gull,1
2018-10-15,SHS,NORTH,SAND,Shorebird,276
2018-10-15,SHS,NORTH,SNPL,Shorebird,53
2018-10-15,SNO,SOUTH,BBPL,Shorebird,15
2018-10-15,SNO,SOUTH,COHA,Raptor,1
2018-10-15,SNO,SOUTH,HERG,Gull,5
2018-10-15,SNO,SOUTH,PEFA,Raptor,1
2018-10-15,SNO,SOUTH,RBGU,Gull,2
2018-10-15,SNO,SOUTH,ROTE,Tern,13
2018-10-15,SNO,SOUTH,RTHA,Raptor,1
2018-10-15,SNO,SOUTH,SAND,Shorebird,39
2018-10-15,SNO,SOUTH,SNPL,Shorebird,83
2018-10-15,SNO,SOUTH,WESA,Shorebird,1
2018-10-15,SSO,SOUTH,BBPL,Shorebird,2
2018-10-15,SSO,SOUTH,CAGU,Gull,2
2018-10-15,SSO,SOUTH,SAND,Shorebird,200
2018-10-15,SSO,SOUTH,SNPL,Shorebird,2
2018-10-15,WAL,SOUTH,BBPL,Shorebird,6
2018-10-15,WAL,SOUTH,CAGU,Gull,1
2018-10-15,WAL,SOUTH,KILL,Shorebird,1
2018-10-15,WAL,SOUTH,PEFA,Raptor,1
2018-10-15,WAL,SOUTH,SAND,Shorebird,47
2018-10-15,WAL,SOUTH,SEPL,Shorebird,2
2018-10-15,WAL,SOUTH,SNPL,Shorebird,26
2016-10-17,MIN,NORTH,SNPL,Shorebird,4
2016-10-17,MIN,NORTH,WEGU,Gull,3
2016-10-17,PNO,PURISIMA,SAND,Shorebird,90
2016-10-17,SAN,NORTH,DUNL,Shorebird,14
2016-10-17,SAN,NORTH,SAND,Shorebird,278
2016-10-17,SAN,NORTH,SNPL,Shorebird,79
2016-10-17,SAN,NORTH,WEGU,Gull,3
2016-10-17,SAN,NORTH,WESA,Shorebird,2
2016-10-17,SHN,NORTH,CAGU,Gull,1
2016-10-17,SHN,NORTH,gull,Gull,1
2016-10-17,SHN,NORTH,SAND,Shorebird,795
2016-10-17,SHN,NORTH,WEGU,Gull,6
2016-10-17,SHS,NORTH,PEFA,Raptor,1
2016-10-17,SHS,NORTH,SAND,Shorebird,23
2016-10-17,SHS,NORTH,SNPL,Shorebird,2
2016-10-17,SNO,SOUTH,SAND,Shorebird,225
2016-10-17,SNO,SOUTH,WEGU,Gull,1
2016-10-17,SNO,SOUTH,WESA,Shorebird,3
2016-10-17,SSO,SOUTH,CAGU,Gull,1
2016-10-17,SSO,SOUTH,LBCU,Shorebird,1
2016-10-17,SSO,SOUTH,WEGU,Gull,4
2016-10-17,WAL,SOUTH,peeps,Shorebird,5
2016-10-17,WAL,SOUTH,PEFA,Raptor,1
2016-10-17,WAL,SOUTH,SAND,Shorebird,254
2016-10-17,WAL,SOUTH,SNPL,Shorebird,84
2016-10-17,WAL,SOUTH,WESA,Shorebird,3
2015-10-19,MIN,NORTH,BBPL,Shorebird,17
2015-10-19,MIN,NORTH,ELTE,Tern,37
2015-10-19,MIN,NORTH,HEEG,Gull,88
2015-10-19,MIN,NORTH,LBCU,Shorebird,14
2015-10-19,MIN,NORTH,MAGO,Shorebird,8
2015-10-19,MIN,NORTH,ROTE,Tern,21
2015-10-19,MIN,NORTH,SAND,Shorebird,170
2015-10-19,MIN,NORTH,SNPL,Shorebird,20
2015-10-19,MIN,NORTH,WEGU,Gull,7
2015-10-19,MIN,NORTH,WHIM,Shorebird,1
2015-10-19,PCO,PURISIMA,SNPL,Shorebird,2
2015-10-19,PCO,PURISIMA,WEGU,Gull,2
2015-10-19,PNO,PURISIMA,BBPL,Shorebird,11
2015-10-19,PNO,PURISIMA,SAND,Shorebird,103
2015-10-19,PNO,PURISIMA,SEPL,Shorebird,2
2015-10-19,PNO,PURISIMA,SNPL,Shorebird,17
2015-10-19,PNO,PURISIMA,SPSA,Shorebird,1
2015-10-19,PNO,PURISIMA,WEGU,Gull,2
2015-10-19,SAN,NORTH,BBPL,Shorebird,89
2015-10-19,SAN,NORTH,CAGU,Gull,1
2015-10-19,SAN,NORTH,HEEG,Gull,4
2015-10-19,SAN,NORTH,LBCU,Shorebird,136
2015-10-19,SAN,NORTH,MAGO,Shorebird,5
2015-10-19,SAN,NORTH,SAND,Shorebird,209
2015-10-19,SAN,NORTH,SNPL,Shorebird,52
2015-10-19,SAN,NORTH,WEGU,Gull,7
2015-10-19,SAN,NORTH,WHIM,Shorebird,13
2015-10-19,SHN,NORTH,BBPL,Shorebird,58
2015-10-19,SHN,NORTH,CAGU,Gull,1
2015-10-19,SHN,NORTH,HEEG,Gull,110
2015-10-19,SHN,NORTH,LBCU,Shorebird,78
2015-10-19,SHN,NORTH,MAGO,Shorebird,15
2015-10-19,SHN,NORTH,ROTE,Tern,1
2015-10-19,SHN,NORTH,SAND,Shorebird,295
2015-10-19,SHN,NORTH,SNPL,Shorebird,46
2015-10-19,SHN,NORTH,WEGU,Gull,5
2015-10-19,SHS,NORTH,BBPL,Shorebird,101
2015-10-19,SHS,NORTH,CAGU,Gull,2
2015-10-19,SHS,NORTH,HEEG,Gull,4
2015-10-19,SHS,NORTH,LBCU,Shorebird,111
2015-10-19,SHS,NORTH,MAGO,Shorebird,8
2015-10-19,SHS,NORTH,SAND,Shorebird,225
2015-10-19,SHS,NORTH,SNPL,Shorebird,29
2015-10-19,SHS,NORTH,WHIM,Shorebird,2
2015-10-19,SNO,SOUTH,BBPL,Shorebird,5
2015-10-19,SNO,SOUTH,LESA,Shorebird,3
2015-10-19,SNO,SOUTH,SAND,Shorebird,41
2015-10-19,SNO,SOUTH,SNPL,Shorebird,53
2015-10-19,SSO,SOUTH,SAND,Shorebird,580
2015-10-19,SSO,SOUTH,SEPL,Shorebird,1
2015-10-19,SSO,SOUTH,SNPL,Shorebird,29
2015-10-19,WAL,SOUTH,BBPL,Shorebird,12
2015-10-19,WAL,SOUTH,MAGO,Shorebird,3
2015-10-19,WAL,SOUTH,SAND,Shorebird,58
2015-10-19,WAL,SOUTH,SEPL,Shorebird,9
2015-10-19,WAL,SOUTH,SNPL,Shorebird,75
2014-10-20,MIN,NORTH,BBPL,Shorebird,8
2014-10-20,MIN,NORTH,HEEG,Gull,270
2014-10-20,MIN,NORTH,LBCU,Shorebird,66
2014-10-20,MIN,NORTH,MAGO,Shorebird,6
2014-10-20,MIN,NORTH,SAND,Shorebird,17
2014-10-20,MIN,NORTH,SNPL,Shorebird,1
2014-10-20,PNO,PURISIMA,BBPL,Shorebird,36
2014-10-20,PNO,PURISIMA,SAND,Shorebird,64
2014-10-20,PNO,PURISIMA,SNPL,Shorebird,12
2014-10-20,PNO,PURISIMA,WEGU,Gull,4
2014-10-20,SAN,NORTH,BBPL,Shorebird,212
2014-10-20,SAN,NORTH,CAGU,Gull,76
2014-10-20,SAN,NORTH,HEEG,Gull,161
2014-10-20,SAN,NORTH,ROTE,Tern,4
2014-10-20,SAN,NORTH,SAND,Shorebird,207
2014-10-20,SAN,NORTH,SNPL,Shorebird,10
2014-10-20,SAN,NORTH,WEGU,Gull,29
2014-10-20,SHN,NORTH,BBPL,Shorebird,38
2014-10-20,SHN,NORTH,CAGU,Gull,11
2014-10-20,SHN,NORTH,DUNL,Shorebird,1
2014-10-20,SHN,NORTH,ELTE,Tern,4
2014-10-20,SHN,NORTH,HEEG,Gull,404
2014-10-20,SHN,NORTH,LBCU,Shorebird,148
2014-10-20,SHN,NORTH,MAGO,Shorebird,3
2014-10-20,SHN,NORTH,NOHA,Raptor,1
2014-10-20,SHN,NORTH,PEFA,Raptor,2
2014-10-20,SHN,NORTH,SAND,Shorebird,1634
2014-10-20,SHN,NORTH,SNPL,Shorebird,45
2014-10-20,SHN,NORTH,WHIM,Shorebird,2
2014-10-20,SHS,NORTH,BBPL,Shorebird,32
2014-10-20,SHS,NORTH,CAGU,Gull,4
2014-10-20,SHS,NORTH,HEEG,Gull,341
2014-10-20,SHS,NORTH,LBCU,Shorebird,17
2014-10-20,SHS,NORTH,MAGO,Shorebird,5
2014-10-20,SHS,NORTH,SAND,Shorebird,885
2014-10-20,SHS,NORTH,WEGU,Gull,2
2014-10-20,SNO,SOUTH,BBPL,Shorebird,6
2014-10-20,SNO,SOUTH,CAGU,Gull,1
2014-10-20,SNO,SOUTH,LESA,Shorebird,2
2014-10-20,SNO,SOUTH,SAND,Shorebird,77
2014-10-20,SNO,SOUTH,SNPL,Shorebird,110
2014-10-20,SNO,SOUTH,WILL,Shorebird,5
2014-10-20,SSO,SOUTH,BBPL,Shorebird,36
2014-10-20,SSO,SOUTH,KILL,Shorebird,1
2014-10-20,SSO,SOUTH,LBCU,Shorebird,3
2014-10-20,SSO,SOUTH,MAGO,Shorebird,1
2014-10-20,SSO,SOUTH,SAND,Shorebird,364
2014-10-20,SSO,SOUTH,SEPL,Shorebird,1
2014-10-20,SSO,SOUTH,SNPL,Shorebird,45
2014-10-20,SSO,SOUTH,WEGU,Gull,3
2014-10-20,WAL,SOUTH,BBPL,Shorebird,14
2014-10-20,WAL,SOUTH,BLTU,Shorebird,4
2014-10-20,WAL,SOUTH,CAGU,Gull,25
2014-10-20,WAL,SOUTH,DOWI,Shorebird,1
2014-10-20,WAL,SOUTH,DUNL,Shorebird,1
2014-10-20,WAL,SOUTH,ELTE,Tern,30
2014-10-20,WAL,SOUTH,HEEG,Gull,10
2014-10-20,WAL,SOUTH,KILL,Shorebird,1
2014-10-20,WAL,SOUTH,MAGO,Shorebird,24
2014-10-20,WAL,SOUTH,SAND,Shorebird,175
2014-10-20,WAL,SOUTH,SEPL,Shorebird,2
2014-10-20,WAL,SOUTH,SNPL,Shorebird,27
2014-10-20,WAL,SOUTH,WEGU,Gull,29
2014-10-20,WAL,SOUTH,WILL,Shorebird,6
2013-10-21,MIN,NORTH,AMKE,Raptor,1
2013-10-21,MIN,NORTH,BBPL,Shorebird,1
2013-10-21,MIN,NORTH,HEEG,Gull,100
2013-10-21,MIN,NORTH,KILL,Shorebird,1
2013-10-21,PCO,PURISIMA,WEGU,Gull,30
2013-10-21,PNO,PURISIMA,BBPL,Shorebird,1
2013-10-21,PNO,PURISIMA,SAND,Shorebird,3
2013-10-21,SAN,NORTH,AMKE,Raptor,1
2013-10-21,SAN,NORTH,BBPL,Shorebird,3
2013-10-21,SAN,NORTH,CAGU,Gull,3
2013-10-21,SAN,NORTH,SAND,Shorebird,1000
2013-10-21,SAN,NORTH,SNPL,Shorebird,14
2013-10-21,SAN,NORTH,WEGU,Gull,302
2013-10-21,SHN,NORTH,BBSA,Shorebird,1
2013-10-21,SHN,NORTH,SNPL,Shorebird,51
2013-10-21,SHS,NORTH,BBPL,Shorebird,9
2013-10-21,SHS,NORTH,gull,Gull,1
2013-10-21,SHS,NORTH,SNPL,Shorebird,25
2013-10-21,SHS,NORTH,WEGU,Gull,1
2013-10-21,SNO,SOUTH,BBPL,Shorebird,1
2013-10-21,SNO,SOUTH,SAND,Shorebird,750
2013-10-21,SNO,SOUTH,SNPL,Shorebird,106
2013-10-21,SSO,SOUTH,CAGU,Gull,13
2013-10-21,SSO,SOUTH,FOTE,Tern,1
2013-10-21,SSO,SOUTH,RTHA,Raptor,1
2013-10-21,SSO,SOUTH,SAND,Shorebird,350
2013-10-21,SSO,SOUTH,SNPL,Shorebird,36
2013-10-21,SSO,SOUTH,WEGU,Gull,12
2013-10-21,WAL,SOUTH,CAGU,Gull,20
2013-10-21,WAL,SOUTH,FOTE,Tern,6
2013-10-21,WAL,SOUTH,HEEG,Gull,60
2013-10-21,WAL,SOUTH,PEFA,Raptor,1
2013-10-21,WAL,SOUTH,RBGU,Gull,60
2013-10-21,WAL,SOUTH,WEGU,Gull,120
2017-10-09,MIN,NORTH,BBPL,Shorebird,14
2017-10-09,MIN,NORTH,SAND,Shorebird,35
2017-10-09,MIN,NORTH,SNPL,Shorebird,19
2017-10-09,MIN,NORTH,WEGU,Gull,3
2017-10-09,PNO,PURISIMA,BBPL,Shorebird,3
2017-10-09,PNO,PURISIMA,SAND,Shorebird,7
2017-10-09,SAN,NORTH,BBPL,Shorebird,14
2017-10-09,SAN,NORTH,CAGU,Gull,3
2017-10-09,SAN,NORTH,KILL,Shorebird,3
2017-10-09,SAN,NORTH,NOHA,Raptor,1
2017-10-09,SAN,NORTH,SAND,Shorebird,401
2017-10-09,SAN,NORTH,SEPL,Shorebird,1
2017-10-09,SAN,NORTH,SNPL,Shorebird,43
2017-10-09,SAN,NORTH,WEGU,Gull,14
2017-10-09,SHN,NORTH,LBCU,Shorebird,14
2017-10-09,SHN,NORTH,SAND,Shorebird,218
2017-10-09,SHN,NORTH,SNPL,Shorebird,19
2017-10-09,SHN,NORTH,WEGU,Gull,4
2017-10-09,SHS,NORTH,NOHA,Raptor,1
2017-10-09,SHS,NORTH,SAND,Shorebird,147
2017-10-09,SHS,NORTH,SEPL,Shorebird,1
2017-10-09,SHS,NORTH,SNPL,Shorebird,4
2017-10-09,SNO,SOUTH,BBPL,Shorebird,16
2017-10-09,SNO,SOUTH,KILL,Shorebird,2
2017-10-09,SNO,SOUTH,LBCU,Shorebird,4
2017-10-09,SNO,SOUTH,SAND,Shorebird,181
2017-10-09,SNO,SOUTH,SEPL,Shorebird,1
2017-10-09,SNO,SOUTH,SNPL,Shorebird,56
2017-10-09,SSO,SOUTH,BBPL,Shorebird,20
2017-10-09,SSO,SOUTH,LBCU,Shorebird,37
2017-10-09,SSO,SOUTH,MAGO,Shorebird,54
2017-10-09,SSO,SOUTH,RTHA,Raptor,1
2017-10-09,SSO,SOUTH,SAND,Shorebird,10
2017-10-09,SSO,SOUTH,SNPL,Shorebird,1
2017-10-09,SSO,SOUTH,WEGU,Gull,10
2017-10-09,SSO,SOUTH,WHIM,Shorebird,2
2017-10-09,WAL,SOUTH,BBPL,Shorebird,1
2017-10-09,WAL,SOUTH,LBCU,Shorebird,9
2017-10-09,WAL,SOUTH,SAND,Shorebird,114
2017-10-09,WAL,SOUTH,SNPL,Shorebird,33
2013-11-11,MIN,NORTH,HEEG,Gull,65
2013-11-11,MIN,NORTH,WEGU,Gull,7
2013-11-11,PCO,PURISIMA,MERL,Raptor,1
2013-11-11,PNO,PURISIMA,BBPL,Shorebird,4
2013-11-11,SAN,NORTH,AMKE,Raptor,1
2013-11-11,SAN,NORTH,HEEG,Gull,2
2013-11-11,SAN,NORTH,MERL,Raptor,2
2013-11-11,SAN,NORTH,WEGU,Gull,50
2013-11-11,SHN,NORTH,CAGU,Gull,75
2013-11-11,SHN,NORTH,HEEG,Gull,274
2013-11-11,SHN,NORTH,WEGU,Gull,94
2013-11-11,SHS,NORTH,HEEG,Gull,30
2013-11-11,SHS,NORTH,WEGU,Gull,2
2013-11-11,SNO,SOUTH,BBPL,Shorebird,10
2013-11-11,SNO,SOUTH,CAGU,Gull,6
2013-11-11,SNO,SOUTH,gull,Gull,300
2013-11-11,SNO,SOUTH,MERL,Raptor,1
2013-11-11,SNO,SOUTH,RUTU,Shorebird,2
2013-11-11,SNO,SOUTH,SAND,Shorebird,665
2013-11-11,SNO,SOUTH,SNPL,Shorebird,375
2013-11-11,SNO,SOUTH,WEGU,Gull,4
2013-11-11,SSO,SOUTH,AMKE,Raptor,1
2013-11-11,SSO,SOUTH,BBPL,Shorebird,4
2013-11-11,SSO,SOUTH,RTHA,Raptor,3
2013-11-11,SSO,SOUTH,SAND,Shorebird,60
2013-11-11,SSO,SOUTH,SNPL,Shorebird,56
2013-11-11,WAL,SOUTH,LESA,Shorebird,7
2013-11-11,WAL,SOUTH,SAND,Shorebird,100
2013-11-11,WAL,SOUTH,SNPL,Shorebird,42
2018-11-12,MIN,NORTH,SAND,Shorebird,19
2018-11-12,MIN,NORTH,SNPL,Shorebird,22
2018-11-12,MIN,NORTH,WEGU,Gull,1
2018-11-12,PNO,PURISIMA,BBPL,Shorebird,1
2018-11-12,PNO,PURISIMA,SAND,Shorebird,13
2018-11-12,PNO,PURISIMA,SNPL,Shorebird,10
2018-11-12,PNO,PURISIMA,SPSA,Shorebird,1
2018-11-12,SAN,NORTH,BBPL,Shorebird,14
2018-11-12,SAN,NORTH,CAGU,Gull,1
2018-11-12,SAN,NORTH,SAND,Shorebird,75
2018-11-12,SAN,NORTH,SNPL,Shorebird,41
2018-11-12,SAN,NORTH,WEGU,Gull,3
2018-11-12,SHN,NORTH,BBPL,Shorebird,31
2018-11-12,SHN,NORTH,HERG,Gull,1
2018-11-12,SHN,NORTH,SAND,Shorebird,78
2018-11-12,SHN,NORTH,SNPL,Shorebird,27
2018-11-12,SHN,NORTH,WEGU,Gull,2
2018-11-12,SHN,NORTH,WESA,Shorebird,1
2018-11-12,SHN,NORTH,WILL,Shorebird,1
2018-11-12,SHS,NORTH,BBPL,Shorebird,34
2018-11-12,SHS,NORTH,CAGU,Gull,1
2018-11-12,SHS,NORTH,SAND,Shorebird,48
2018-11-12,SHS,NORTH,SNPL,Shorebird,17
2018-11-12,SNO,SOUTH,BBPL,Shorebird,19
2018-11-12,SNO,SOUTH,CAGU,Gull,2
2018-11-12,SNO,SOUTH,SAND,Shorebird,61
