survey_week,beach_section_initials,beach,species,species_type,total,sp_2
2011-06-20,MIN,NORTH,SNPL,Shorebird,3,SNPL
2011-06-20,PNO,PURISIMA,SNPL,Shorebird,2,SNPL
2011-06-20,SAN,NORTH,SNPL,Shorebird,40,SNPL
2011-06-20,SHN,NORTH,SNPL,Shorebird,2,SNPL
2011-06-20,SHS,NORTH,SNPL,Shorebird,5,SNPL
2011-06-20,SNO,SOUTH,SNPL,Shorebird,79,SNPL
2011-06-20,SSO,SOUTH,SNPL,Shorebird,27,SNPL
2011-06-20,WAL,SOUTH,SNPL,Shorebird,45,SNPL
2011-06-20,WAL,SOUTH,WEGU,Gull,10,Gull
2011-06-27,MIN,NORTH,HEEG,Gull,118,Gull
2011-06-27,MIN,NORTH,SNPL,Shorebird,4,SNPL
2011-06-27,SAN,NORTH,HEEG,Gull,121,Gull
2011-06-27,SAN,NORTH,SNPL,Shorebird,126,SNPL
2011-06-27,SHN,NORTH,HEEG,Gull,167,Gull
2011-06-27,SHN,NORTH,SNPL,Shorebird,12,SNPL
2011-06-27,SHS,NORTH,HEEG,Gull,180,Gull
2011-06-27,SHS,NORTH,SNPL,Shorebird,11,SNPL
2011-06-27,SNO,SOUTH,SNPL,Shorebird,46,SNPL
2011-06-27,WAL,SOUTH,SNPL,Shorebird,43,SNPL
2011-07-04,MIN,NORTH,HEEG,Gull,272,Gull
2011-07-04,MIN,NORTH,SNPL,Shorebird,2,SNPL
2011-07-04,SAN,NORTH,HEEG,Gull,199,Gull
2011-07-04,SAN,NORTH,SNPL,Shorebird,94,SNPL
2011-07-04,SHN,NORTH,HEEG,Gull,181,Gull
2011-07-04,SHN,NORTH,SNPL,Shorebird,12,SNPL
2011-07-04,SHS,NORTH,HEEG,Gull,200,Gull
2011-07-04,SHS,NORTH,SNPL,Shorebird,6,SNPL
2011-07-04,SNO,SOUTH,HEEG,Gull,42,Gull
2011-07-04,SNO,SOUTH,SNPL,Shorebird,80,SNPL
2011-07-04,SSO,SOUTH,HEEG,Gull,179,Gull
2011-07-04,SSO,SOUTH,SNPL,Shorebird,36,SNPL
2011-07-04,SSO,SOUTH,WEGU,Gull,22,Gull
2011-07-04,WAL,SOUTH,SNPL,Shorebird,37,SNPL
2011-07-11,PNO,PURISIMA,SNPL,Shorebird,1,SNPL
2011-07-11,SAN,NORTH,SNPL,Shorebird,119,SNPL
2011-07-11,SNO,SOUTH,SNPL,Shorebird,51,SNPL
2011-07-11,SSO,SOUTH,HEEG,Gull,84,Gull
2011-07-11,SSO,SOUTH,SNPL,Shorebird,14,SNPL
2011-07-18,MIN,NORTH,HEEG,Gull,376,Gull
2011-07-18,MIN,NORTH,SNPL,Shorebird,3,SNPL
2011-07-18,SAN,NORTH,CAGU,Gull,1,Gull
2011-07-18,SAN,NORTH,SNPL,Shorebird,122,SNPL
2011-07-18,SHN,NORTH,HEEG,Gull,298,Gull
2011-07-18,SHN,NORTH,SNPL,Shorebird,6,SNPL
2011-07-18,SHS,NORTH,HEEG,Gull,220,Gull
2011-07-18,SHS,NORTH,SNPL,Shorebird,9,SNPL
2011-07-18,SNO,SOUTH,HEEG,Gull,80,Gull
2011-07-18,SNO,SOUTH,SNPL,Shorebird,80,SNPL
2011-07-18,SNO,SOUTH,WEGU,Gull,20,Gull
2011-07-18,SSO,SOUTH,HEEG,Gull,32,Gull
2011-07-18,SSO,SOUTH,SNPL,Shorebird,21,SNPL
2011-07-18,WAL,SOUTH,CAGU,Gull,5,Gull
2011-07-18,WAL,SOUTH,SNPL,Shorebird,32,SNPL
2011-07-25,MIN,NORTH,HEEG,Gull,296,Gull
2011-07-25,MIN,NORTH,SNPL,Shorebird,2,SNPL
2011-07-25,PNO,PURISIMA,SNPL,Shorebird,7,SNPL
2011-07-25,PNO,PURISIMA,WEGU,Gull,16,Gull
2011-07-25,SAN,NORTH,HEEG,Gull,257,Gull
2011-07-25,SAN,NORTH,SNPL,Shorebird,56,SNPL
2011-07-25,SAN,NORTH,WEGU,Gull,47,Gull
2011-07-25,SHN,NORTH,HEEG,Gull,352,Gull
2011-07-25,SHN,NORTH,SNPL,Shorebird,19,SNPL
2011-07-25,SHS,NORTH,HEEG,Gull,230,Gull
2011-07-25,SHS,NORTH,SNPL,Shorebird,6,SNPL
2011-07-25,SNO,SOUTH,HEEG,Gull,32,Gull
2011-07-25,SNO,SOUTH,SNPL,Shorebird,185,SNPL
2011-07-25,SNO,SOUTH,WEGU,Gull,8,Gull
2011-07-25,SSO,SOUTH,HEEG,Gull,65,Gull
2011-07-25,SSO,SOUTH,SNPL,Shorebird,31,SNPL
2011-07-25,SSO,SOUTH,WEGU,Gull,17,Gull
2011-07-25,WAL,SOUTH,HEEG,Gull,140,Gull
2011-07-25,WAL,SOUTH,SNPL,Shorebird,46,SNPL
2011-07-25,WAL,SOUTH,WEGU,Gull,35,Gull
2011-08-01,MIN,NORTH,HEEG,Gull,210,Gull
2011-08-01,MIN,NORTH,SNPL,Shorebird,1,SNPL
2011-08-01,PNO,PURISIMA,CAGU,Gull,13,Gull
2011-08-01,PNO,PURISIMA,HEEG,Gull,15,Gull
2011-08-01,PNO,PURISIMA,SNPL,Shorebird,18,SNPL
2011-08-01,PNO,PURISIMA,WEGU,Gull,15,Gull
2011-08-01,SAN,NORTH,CAGU,Gull,35,Gull
2011-08-01,SAN,NORTH,HEEG,Gull,164,Gull
2011-08-01,SAN,NORTH,SNPL,Shorebird,59,SNPL
2011-08-01,SAN,NORTH,WEGU,Gull,13,Gull
2011-08-01,SHN,NORTH,HEEG,Gull,309,Gull
2011-08-01,SHN,NORTH,SNPL,Shorebird,7,SNPL
2011-08-01,SHS,NORTH,HEEG,Gull,448,Gull
2011-08-01,SHS,NORTH,SNPL,Shorebird,5,SNPL
2011-08-01,SNO,SOUTH,SAND,Shorebird,150,SAND
2011-08-01,SNO,SOUTH,SNPL,Shorebird,150,SNPL
2011-08-01,SSO,SOUTH,HEEG,Gull,138,Gull
2011-08-01,SSO,SOUTH,SNPL,Shorebird,5,SNPL
2011-08-01,SSO,SOUTH,WEGU,Gull,27,Gull
2011-08-01,WAL,SOUTH,HEEG,Gull,72,Gull
2011-08-01,WAL,SOUTH,SNPL,Shorebird,56,SNPL
2011-08-01,WAL,SOUTH,WEGU,Gull,18,Gull
2011-08-08,MIN,NORTH,HEEG,Gull,338,Gull
2011-08-08,MIN,NORTH,SNPL,Shorebird,2,SNPL
2011-08-08,PNO,PURISIMA,CAGU,Gull,46,Gull
2011-08-08,PNO,PURISIMA,HEEG,Gull,69,Gull
2011-08-08,PNO,PURISIMA,SNPL,Shorebird,2,SNPL
2011-08-08,PNO,PURISIMA,WEGU,Gull,15,Gull
2011-08-08,SAN,NORTH,CAGU,Gull,48,Gull
2011-08-08,SAN,NORTH,HEEG,Gull,145,Gull
2011-08-08,SAN,NORTH,SNPL,Shorebird,39,SNPL
2011-08-08,SAN,NORTH,WEGU,Gull,12,Gull
2011-08-08,SHN,NORTH,SAND,Shorebird,29,SAND
2011-08-08,SHN,NORTH,SNPL,Shorebird,7,SNPL
2011-08-08,SHS,NORTH,HEEG,Gull,144,Gull
2011-08-08,SHS,NORTH,SNPL,Shorebird,13,SNPL
2011-08-15,MIN,NORTH,HEEG,Gull,628,Gull
2011-08-15,MIN,NORTH,SNPL,Shorebird,3,SNPL
2011-08-15,SAN,NORTH,CAGU,Gull,54,Gull
2011-08-15,SAN,NORTH,HEEG,Gull,124,Gull
2011-08-15,SAN,NORTH,SNPL,Shorebird,64,SNPL
2011-08-15,SAN,NORTH,WEGU,Gull,8,Gull
2011-08-15,SHN,NORTH,HEEG,Gull,400,Gull
2011-08-15,SHN,NORTH,SNPL,Shorebird,4,SNPL
2011-08-15,SHS,NORTH,HEEG,Gull,160,Gull
2011-08-15,SHS,NORTH,SAND,Shorebird,1,SAND
2011-08-15,SHS,NORTH,SNPL,Shorebird,24,SNPL
2011-08-15,SNO,SOUTH,SNPL,Shorebird,221,SNPL
2011-08-15,SSO,SOUTH,SNPL,Shorebird,1,SNPL
2011-08-15,WAL,SOUTH,SNPL,Shorebird,48,SNPL
2011-08-22,MIN,NORTH,CAGU,Gull,21,Gull
2011-08-22,MIN,NORTH,HEEG,Gull,311,Gull
2011-08-22,MIN,NORTH,WEGU,Gull,8,Gull
2011-08-22,SAN,NORTH,CAGU,Gull,42,Gull
2011-08-22,SAN,NORTH,HEEG,Gull,84,Gull
2011-08-22,SAN,NORTH,SNPL,Shorebird,4,SNPL
2011-08-22,SAN,NORTH,WEGU,Gull,14,Gull
2011-08-22,SHN,NORTH,HEEG,Gull,339,Gull
2011-08-22,SHN,NORTH,SNPL,Shorebird,3,SNPL
2011-08-22,SHS,NORTH,CAGU,Gull,1,Gull
2011-08-22,SHS,NORTH,HEEG,Gull,108,Gull
2011-08-22,SHS,NORTH,SNPL,Shorebird,44,SNPL
2011-08-22,SHS,NORTH,WEGU,Gull,2,Gull
2011-08-22,SNO,SOUTH,HEEG,Gull,3,Gull
2011-08-22,SNO,SOUTH,SAND,Shorebird,165,SAND
2011-08-22,SNO,SOUTH,SNPL,Shorebird,164,SNPL
2011-08-22,SNO,SOUTH,WEGU,Gull,70,Gull
2011-08-22,SSO,SOUTH,HEEG,Gull,94,Gull
2011-08-22,WAL,SOUTH,CAGU,Gull,1,Gull
2011-08-22,WAL,SOUTH,HEEG,Gull,17,Gull
2011-08-22,WAL,SOUTH,SAND,Shorebird,200,SAND
2011-08-22,WAL,SOUTH,SNPL,Shorebird,34,SNPL
2011-08-29,PNO,PURISIMA,SAND,Shorebird,20,SAND
2011-08-29,SAN,NORTH,HEEG,Gull,140,Gull
2011-08-29,SAN,NORTH,SAND,Shorebird,147,SAND
2011-08-29,SAN,NORTH,SNPL,Shorebird,50,SNPL
2011-08-29,SAN,NORTH,WEGU,Gull,1,Gull
2011-08-29,SHS,NORTH,HEEG,Gull,32,Gull
2011-08-29,SHS,NORTH,SNPL,Shorebird,11,SNPL
2011-08-29,SNO,SOUTH,HEEG,Gull,20,Gull
2011-08-29,SNO,SOUTH,SNPL,Shorebird,137,SNPL
2011-08-29,SSO,SOUTH,CAGU,Gull,7,Gull
2011-08-29,SSO,SOUTH,HEEG,Gull,57,Gull
2011-08-29,SSO,SOUTH,SNPL,Shorebird,20,SNPL
2011-08-29,SSO,SOUTH,WEGU,Gull,7,Gull
2011-08-29,WAL,SOUTH,CAGU,Gull,20,Gull
2011-08-29,WAL,SOUTH,HEEG,Gull,55,Gull
2011-08-29,WAL,SOUTH,SNPL,Shorebird,56,SNPL
2011-08-29,WAL,SOUTH,WEGU,Gull,75,Gull
2011-09-05,MIN,NORTH,SAND,Shorebird,1,SAND
2011-09-05,MIN,NORTH,SNPL,Shorebird,3,SNPL
2011-09-05,PNO,PURISIMA,HEEG,Gull,12,Gull
2011-09-05,PNO,PURISIMA,SAND,Shorebird,200,SAND
2011-09-05,PNO,PURISIMA,SNPL,Shorebird,7,SNPL
2011-09-05,PNO,PURISIMA,WEGU,Gull,2,Gull
2011-09-05,SAN,NORTH,HEEG,Gull,231,Gull
2011-09-05,SAN,NORTH,SAND,Shorebird,35,SAND
2011-09-05,SAN,NORTH,SNPL,Shorebird,47,SNPL
2011-09-05,SHN,NORTH,HEEG,Gull,458,Gull
2011-09-05,SHN,NORTH,SAND,Shorebird,3,SAND
2011-09-05,SHN,NORTH,SNPL,Shorebird,5,SNPL
2011-09-05,SHS,NORTH,HEEG,Gull,294,Gull
2011-09-05,SHS,NORTH,SAND,Shorebird,65,SAND
2011-09-05,SHS,NORTH,SNPL,Shorebird,57,SNPL
2011-09-05,SNO,SOUTH,HEEG,Gull,54,Gull
2011-09-05,SNO,SOUTH,SNPL,Shorebird,194,SNPL
2011-09-05,SNO,SOUTH,WEGU,Gull,19,Gull
2011-09-05,SSO,SOUTH,CAGU,Gull,8,Gull
2011-09-05,SSO,SOUTH,HEEG,Gull,12,Gull
2011-09-05,SSO,SOUTH,SNPL,Shorebird,1,SNPL
2011-09-05,WAL,SOUTH,HEEG,Gull,26,Gull
2011-09-05,WAL,SOUTH,SNPL,Shorebird,31,SNPL
2011-09-12,MIN,NORTH,HEEG,Gull,300,Gull
2011-09-12,MIN,NORTH,SNPL,Shorebird,20,SNPL
2011-09-12,SAN,NORTH,SNPL,Shorebird,10,SNPL
2011-09-12,SHN,NORTH,SNPL,Shorebird,26,SNPL
2011-09-12,SHS,NORTH,HEEG,Gull,225,Gull
2011-09-12,SHS,NORTH,SNPL,Shorebird,83,SNPL
2011-09-12,SNO,SOUTH,HEEG,Gull,3,Gull
2011-09-12,SNO,SOUTH,SAND,Shorebird,306,SAND
2011-09-12,SNO,SOUTH,SNPL,Shorebird,204,SNPL
2011-09-12,SSO,SOUTH,HEEG,Gull,82,Gull
2011-09-12,SSO,SOUTH,WEGU,Gull,3,Gull
2011-09-12,WAL,SOUTH,HEEG,Gull,12,Gull
2011-09-12,WAL,SOUTH,SAND,Shorebird,2,SAND
2011-09-12,WAL,SOUTH,SNPL,Shorebird,23,SNPL
2011-09-12,WAL,SOUTH,WEGU,Gull,3,Gull
2011-09-19,MIN,NORTH,HEEG,Gull,238,Gull
2011-09-19,MIN,NORTH,SAND,Shorebird,20,SAND
2011-09-19,MIN,NORTH,SNPL,Shorebird,16,SNPL
2011-09-19,PNO,PURISIMA,HEEG,Gull,5,Gull
2011-09-19,PNO,PURISIMA,SAND,Shorebird,300,SAND
2011-09-19,PNO,PURISIMA,SNPL,Shorebird,2,SNPL
2011-09-19,PNO,PURISIMA,WEGU,Gull,9,Gull
2011-09-19,SAN,NORTH,HEEG,Gull,172,Gull
2011-09-19,SAN,NORTH,SAND,Shorebird,34,SAND
2011-09-19,SAN,NORTH,SNPL,Shorebird,74,SNPL
2011-09-19,SAN,NORTH,WEGU,Gull,3,Gull
2011-09-19,SHN,NORTH,HEEG,Gull,414,Gull
2011-09-19,SHN,NORTH,SAND,Shorebird,281,SAND
2011-09-19,SHN,NORTH,SNPL,Shorebird,73,SNPL
2011-09-19,SHS,NORTH,HEEG,Gull,271,Gull
2011-09-19,SHS,NORTH,SAND,Shorebird,1700,SAND
2011-09-19,SHS,NORTH,SNPL,Shorebird,2,SNPL
2011-09-19,SHS,NORTH,WEGU,Gull,1,Gull
2011-09-19,SNO,SOUTH,SNPL,Shorebird,260,SNPL
2011-09-19,SSO,SOUTH,HEEG,Gull,40,Gull
2011-09-19,WAL,SOUTH,HEEG,Gull,12,Gull
2011-09-19,WAL,SOUTH,SNPL,Shorebird,9,SNPL
2011-09-26,MIN,NORTH,HEEG,Gull,107,Gull
2011-09-26,MIN,NORTH,SNPL,Shorebird,5,SNPL
2011-09-26,SAN,NORTH,HEEG,Gull,160,Gull
2011-09-26,SAN,NORTH,SNPL,Shorebird,99,SNPL
2011-09-26,SAN,NORTH,WEGU,Gull,40,Gull
2011-09-26,SHN,NORTH,HEEG,Gull,232,Gull
2011-09-26,SHN,NORTH,SNPL,Shorebird,19,SNPL
2011-09-26,SHN,NORTH,WEGU,Gull,48,Gull
2011-09-26,SHS,NORTH,SNPL,Shorebird,45,SNPL
2011-09-26,SNO,SOUTH,SAND,Shorebird,85,SAND
2011-09-26,SNO,SOUTH,SNPL,Shorebird,124,SNPL
2011-09-26,SNO,SOUTH,WEGU,Gull,1,Gull
2011-09-26,SSO,SOUTH,HEEG,Gull,2,Gull
2011-09-26,SSO,SOUTH,SAND,Shorebird,40,SAND
2011-09-26,SSO,SOUTH,WEGU,Gull,29,Gull
2011-09-26,WAL,SOUTH,HEEG,Gull,4,Gull
2011-09-26,WAL,SOUTH,SAND,Shorebird,191,SAND
2011-09-26,WAL,SOUTH,SNPL,Shorebird,38,SNPL
2011-09-26,WAL,SOUTH,WEGU,Gull,62,Gull
2012-01-16,MIN,NORTH,SNPL,Shorebird,24,SNPL
2012-01-16,PNO,PURISIMA,SNPL,Shorebird,2,SNPL
2012-01-16,SAN,NORTH,SNPL,Shorebird,45,SNPL
2012-01-16,SHN,NORTH,SNPL,Shorebird,28,SNPL
2012-01-16,SHS,NORTH,SNPL,Shorebird,15,SNPL
2012-02-27,SNO,SOUTH,SNPL,Shorebird,53,SNPL
2012-02-27,WAL,SOUTH,SNPL,Shorebird,40,SNPL
2012-03-05,MIN,NORTH,CAGU,Gull,1,Gull
2012-03-05,MIN,NORTH,SNPL,Shorebird,7,SNPL
2012-03-05,SAN,NORTH,SAND,Shorebird,100,SAND
2012-03-05,SAN,NORTH,SNPL,Shorebird,44,SNPL
2012-03-05,SHN,NORTH,CAGU,Gull,1,Gull
2012-03-05,SHN,NORTH,SAND,Shorebird,3000,SAND
2012-03-05,SHN,NORTH,SNPL,Shorebird,11,SNPL
2012-03-05,SHS,NORTH,SAND,Shorebird,245,SAND
2012-03-05,SHS,NORTH,SNPL,Shorebird,3,SNPL
2012-03-05,SNO,SOUTH,SAND,Shorebird,200,SAND
2012-03-05,SNO,SOUTH,SNPL,Shorebird,42,SNPL
2012-03-05,SSO,SOUTH,SAND,Shorebird,2020,SAND
2012-03-05,SSO,SOUTH,SNPL,Shorebird,24,SNPL
2012-03-05,WAL,SOUTH,SAND,Shorebird,2650,SAND
2012-03-05,WAL,SOUTH,SNPL,Shorebird,8,SNPL
2012-03-12,MIN,NORTH,SNPL,Shorebird,14,SNPL
2012-03-12,SAN,NORTH,CAGU,Gull,1,Gull
2012-03-12,SAN,NORTH,SAND,Shorebird,66,SAND
2012-03-12,SAN,NORTH,SNPL,Shorebird,25,SNPL
2012-03-12,SHN,NORTH,SNPL,Shorebird,9,SNPL
2012-03-12,SHS,NORTH,SAND,Shorebird,1065,SAND
2012-03-12,SNO,SOUTH,SAND,Shorebird,826,SAND
2012-03-12,SNO,SOUTH,SNPL,Shorebird,141,SNPL
2012-03-12,SNO,SOUTH,WEGU,Gull,1,Gull
2012-03-12,SSO,SOUTH,SAND,Shorebird,2316,SAND
2012-03-12,SSO,SOUTH,SNPL,Shorebird,35,SNPL
2012-03-12,WAL,SOUTH,SAND,Shorebird,7,SAND
2012-03-12,WAL,SOUTH,SNPL,Shorebird,11,SNPL
2012-03-19,MIN,NORTH,SNPL,Shorebird,19,SNPL
2012-03-19,SAN,NORTH,SAND,Shorebird,1500,SAND
2012-03-19,SAN,NORTH,SNPL,Shorebird,67,SNPL
2012-03-19,SHN,NORTH,SAND,Shorebird,400,SAND
2012-03-19,SHN,NORTH,SNPL,Shorebird,7,SNPL
2012-03-19,SHS,NORTH,SAND,Shorebird,150,SAND
2012-03-19,SHS,NORTH,SNPL,Shorebird,8,SNPL
2012-03-19,SNO,SOUTH,SAND,Shorebird,3000,SAND
2012-03-19,SNO,SOUTH,SNPL,Shorebird,74,SNPL
2012-03-19,SSO,SOUTH,CAGU,Gull,1,Gull
2012-03-19,SSO,SOUTH,SNPL,Shorebird,41,SNPL
2012-03-19,WAL,SOUTH,SNPL,Shorebird,13,SNPL
2012-03-26,MIN,NORTH,SAND,Shorebird,2500,SAND
2012-03-26,MIN,NORTH,SNPL,Shorebird,18,SNPL
2012-03-26,PNO,PURISIMA,WEGU,Gull,2,Gull
2012-03-26,SAN,NORTH,SNPL,Shorebird,55,SNPL
2012-03-26,SHN,NORTH,SAND,Shorebird,3110,SAND
2012-03-26,SHN,NORTH,SNPL,Shorebird,15,SNPL
2012-03-26,SHS,NORTH,CAGU,Gull,1,Gull
2012-03-26,SHS,NORTH,SAND,Shorebird,300,SAND
2012-03-26,SHS,NORTH,SNPL,Shorebird,14,SNPL
2012-03-26,SNO,SOUTH,SAND,Shorebird,1950,SAND
2012-03-26,SNO,SOUTH,SNPL,Shorebird,81,SNPL
2012-03-26,SNO,SOUTH,WEGU,Gull,1,Gull
2012-03-26,SSO,SOUTH,SAND,Shorebird,1,SAND
2012-03-26,SSO,SOUTH,SNPL,Shorebird,44,SNPL
2012-03-26,SSO,SOUTH,WEGU,Gull,7,Gull
2012-03-26,WAL,SOUTH,SAND,Shorebird,500,SAND
2012-03-26,WAL,SOUTH,SNPL,Shorebird,28,SNPL
2012-04-02,MIN,NORTH,CAGU,Gull,3,Gull
2012-04-02,MIN,NORTH,SAND,Shorebird,415,SAND
2012-04-02,MIN,NORTH,SNPL,Shorebird,41,SNPL
2012-04-02,MIN,NORTH,WEGU,Gull,1,Gull
2012-04-02,SHS,NORTH,SAND,Shorebird,1000,SAND
2012-04-09,SAN,NORTH,SAND,Shorebird,2000,SAND
2012-04-09,SAN,NORTH,SNPL,Shorebird,22,SNPL
2012-04-09,SNO,SOUTH,SAND,Shorebird,1100,SAND
2012-04-09,SNO,SOUTH,SNPL,Shorebird,75,SNPL
2012-04-09,SSO,SOUTH,SNPL,Shorebird,30,SNPL
2012-04-09,WAL,SOUTH,SAND,Shorebird,1700,SAND
2012-04-09,WAL,SOUTH,SNPL,Shorebird,22,SNPL
2012-04-09,WAL,SOUTH,WEGU,Gull,40,Gull
2012-04-16,MIN,NORTH,SNPL,Shorebird,11,SNPL
2012-04-16,PNO,PURISIMA,SNPL,Shorebird,4,SNPL
2012-04-16,SAN,NORTH,SAND,Shorebird,27,SAND
2012-04-16,SAN,NORTH,SNPL,Shorebird,61,SNPL
2012-04-16,SHN,NORTH,SAND,Shorebird,2000,SAND
2012-04-16,SHN,NORTH,SNPL,Shorebird,14,SNPL
2012-04-16,SHS,NORTH,SAND,Shorebird,20,SAND
2012-04-16,SHS,NORTH,SNPL,Shorebird,14,SNPL
2012-04-16,SNO,SOUTH,SAND,Shorebird,630,SAND
2012-04-16,SNO,SOUTH,SNPL,Shorebird,68,SNPL
2012-04-16,SSO,SOUTH,CAGU,Gull,1,Gull
2012-04-16,SSO,SOUTH,SAND,Shorebird,80,SAND
2012-04-16,SSO,SOUTH,SNPL,Shorebird,29,SNPL
2012-04-16,WAL,SOUTH,SAND,Shorebird,43,SAND
2012-04-16,WAL,SOUTH,SNPL,Shorebird,44,SNPL
2012-04-23,MIN,NORTH,SNPL,Shorebird,13,SNPL
2012-04-23,SHN,NORTH,SNPL,Shorebird,2,SNPL
2012-04-23,WAL,SOUTH,CAGU,Gull,5,Gull
2012-04-23,WAL,SOUTH,SAND,Shorebird,1730,SAND
2012-04-23,WAL,SOUTH,SNPL,Shorebird,27,SNPL
2012-04-30,MIN,NORTH,SNPL,Shorebird,8,SNPL
2012-04-30,PNO,PURISIMA,SNPL,Shorebird,1,SNPL
2012-04-30,SAN,NORTH,SAND,Shorebird,5,SAND
2012-04-30,SAN,NORTH,SNPL,Shorebird,41,SNPL
2012-04-30,SHN,NORTH,SAND,Shorebird,40,SAND
2012-04-30,SHN,NORTH,SNPL,Shorebird,16,SNPL
2012-04-30,SHS,NORTH,SNPL,Shorebird,3,SNPL
2012-04-30,SNO,SOUTH,SAND,Shorebird,2000,SAND
2012-04-30,SNO,SOUTH,SNPL,Shorebird,52,SNPL
2012-04-30,SSO,SOUTH,SNPL,Shorebird,22,SNPL
2012-04-30,WAL,SOUTH,CAGU,Gull,60,Gull
2012-04-30,WAL,SOUTH,SNPL,Shorebird,2,SNPL
2012-05-07,MIN,NORTH,CAGU,Gull,3,Gull
2012-05-07,MIN,NORTH,HEEG,Gull,1,Gull
2012-05-07,MIN,NORTH,SAND,Shorebird,1200,SAND
2012-05-07,MIN,NORTH,SNPL,Shorebird,9,SNPL
2012-05-07,PNO,PURISIMA,SNPL,Shorebird,1,SNPL
2012-05-07,SAN,NORTH,SAND,Shorebird,2100,SAND
2012-05-07,SAN,NORTH,SNPL,Shorebird,53,SNPL
2012-05-07,SHN,NORTH,SAND,Shorebird,2820,SAND
2012-05-07,SHN,NORTH,SNPL,Shorebird,13,SNPL
2012-05-07,SHS,NORTH,CAGU,Gull,3,Gull
2012-05-07,SHS,NORTH,SAND,Shorebird,20,SAND
2012-05-07,SHS,NORTH,SNPL,Shorebird,9,SNPL
2012-05-07,SHS,NORTH,WEGU,Gull,3,Gull
2012-05-07,SNO,SOUTH,CAGU,Gull,1,Gull
2012-05-07,SNO,SOUTH,SAND,Shorebird,249,SAND
2012-05-07,SNO,SOUTH,SNPL,Shorebird,55,SNPL
2012-05-07,SSO,SOUTH,SAND,Shorebird,2860,SAND
2012-05-07,SSO,SOUTH,SNPL,Shorebird,33,SNPL
2012-05-07,SSO,SOUTH,WEGU,Gull,1,Gull
2012-05-07,WAL,SOUTH,CAGU,Gull,53,Gull
2012-05-07,WAL,SOUTH,SAND,Shorebird,924,SAND
2012-05-07,WAL,SOUTH,SNPL,Shorebird,33,SNPL
2012-05-07,WAL,SOUTH,WEGU,Gull,9,Gull
