ID_new,source,ID,Survey Week,Survey Date,Monitor Initials,Transect Block,Beach Section Initials,BEACH,Time,Males Individual,Females Individual,Unknown Individual,Pairs,Flock,Birds Checked,Banded,Juvenile,Chicks,Brood,Total,Sanity Check,Transect Block Notes,Poss Dup
15,currentDB,3346,11/11/2013,11/13/2013,JKM,COBBLE,PNO,PURISIMA,8:24,0,0,0,0,0,,,0,0,0,0,FALSE,,
16,currentDB,3347,11/11/2013,11/13/2013,JKM,POCKET1,PNO,PURISIMA,8:20,0,0,0,0,0,,,0,0,0,0,FALSE,,
17,currentDB,3348,11/11/2013,11/13/2013,JKM,POCKET2,PNO,PURISIMA,8:00,0,0,0,0,0,,,0,0,0,0,FALSE,,
18,currentDB,3349,11/11/2013,11/13/2013,JKM,PURISIMACOL,PCO,PURISIMA,7:25,0,0,0,0,0,,,0,0,0,0,FALSE,,
19,currentDB,3463,11/11/2013,11/13/2013,LAH,MINOPEN,MIN,NORTH,10:46,0,0,0,0,0,,,0,0,0,0,FALSE,,
20,currentDB,3464,11/11/2013,11/13/2013,LAH,MINBORDER,MIN,NORTH,10:43,0,0,0,0,0,,,0,0,0,0,FALSE,,
21,currentDB,3465,11/11/2013,11/13/2013,LAH,TUVU,MIN,NORTH,10:40,0,0,0,0,0,,,0,0,0,0,FALSE,,
22,currentDB,3466,11/11/2013,11/13/2013,LAH,ALLIGATOR,MIN,NORTH,10:37,0,0,0,0,0,,,0,0,0,0,FALSE,,
23,currentDB,3467,11/11/2013,11/13/2013,LAH,CHEST,MIN,NORTH,10:35,0,0,0,0,0,,,0,0,0,0,FALSE,,
24,currentDB,3468,11/11/2013,11/13/2013,LAH,ANCHOR,MIN,NORTH,10:30,0,0,0,0,0,,,0,0,0,0,FALSE,,
25,currentDB,3469,11/11/2013,11/13/2013,LAH,SHCREEK,SHN,NORTH,10:27,0,0,0,0,0,,,0,0,0,0,FALSE,,
26,currentDB,3470,11/11/2013,11/13/2013,LAH,NEEDLE,SHN,NORTH,10:23,0,0,0,0,0,,,0,0,0,0,FALSE,,
27,currentDB,3471,11/11/2013,11/13/2013,LAH,BOINGI,SHN,NORTH,10:20,0,0,0,0,0,,,0,0,0,0,FALSE,,
28,currentDB,3472,11/11/2013,11/13/2013,LAH,SCAFFOLDING,SHN,NORTH,10:16,0,0,0,0,0,,,0,0,0,0,FALSE,,
29,currentDB,3473,11/11/2013,11/13/2013,LAH,PIXIE,SHN,NORTH,10:13,0,0,0,0,0,,,0,0,0,0,FALSE,,
30,currentDB,3474,11/11/2013,11/13/2013,LAH,SEADRAGON,SHN,NORTH,10:07,0,0,0,0,0,,,0,0,0,0,FALSE,,
31,currentDB,3475,11/11/2013,11/13/2013,LAH,PILLOW,SHN,NORTH,10:04,0,0,0,0,0,,,0,0,0,0,FALSE,,
32,currentDB,3476,11/11/2013,11/13/2013,LAH,CLUB,SHN,NORTH,9:54,0,0,0,0,0,,,0,0,0,0,FALSE,,
33,currentDB,3477,11/11/2013,11/13/2013,LAH,HOOF,SHN,NORTH,9:50,0,0,0,0,0,,,0,0,0,0,FALSE,,
34,currentDB,3478,11/11/2013,11/13/2013,LAH,TIRE,SHN,NORTH,9:46,0,0,0,0,0,,,0,0,0,0,FALSE,,
35,currentDB,3479,11/11/2013,11/13/2013,LAH,THIRSTY,SHN,NORTH,9:40,0,0,0,0,0,,,0,0,0,0,FALSE,,
36,currentDB,3480,11/11/2013,11/13/2013,LAH,BOB,SHN,NORTH,9:37,0,0,0,0,0,,,0,0,0,0,FALSE,,
37,currentDB,3481,11/11/2013,11/13/2013,LAH,ROLLINGROCK,SHN,NORTH,9:34,0,0,0,0,0,,,0,0,0,0,FALSE,,
38,currentDB,3482,11/11/2013,11/13/2013,LAH,SHSSTART,SHS,NORTH,9:30,0,0,0,0,0,,,0,0,0,0,FALSE,,
39,currentDB,3483,11/11/2013,11/13/2013,LAH,RAINBOWSPIN,SHS,NORTH,9:10,0,0,0,0,0,,,0,0,0,0,FALSE,,
40,currentDB,3484,11/11/2013,11/13/2013,LAH,BUOYFARM,SHS,NORTH,9:02,0,0,0,0,0,,,0,0,0,0,FALSE,,
41,currentDB,3485,11/11/2013,11/13/2013,LAH,RUPAUL,SHS,NORTH,8:57,0,0,0,0,0,,,0,0,0,0,FALSE,,
42,currentDB,3486,11/11/2013,11/13/2013,RBB,WALL OPEN,WAL,SOUTH,11:43,0,0,0,0,0,,,0,0,0,0,FALSE,,
43,currentDB,3487,11/11/2013,11/13/2013,RBB,WALLBORDER,WAL,SOUTH,11:42,0,0,0,0,0,,,0,0,0,0,FALSE,,
44,currentDB,3488,11/11/2013,11/13/2013,RBB,WILLOW,WAL,SOUTH,11:41,0,0,4,0,4,,,0,0,0,4,FALSE,,
45,currentDB,3489,11/11/2013,11/13/2013,RBB,CANON,WAL,SOUTH,11:40,0,0,0,0,0,,,0,0,0,0,FALSE,,
46,currentDB,3490,11/11/2013,11/13/2013,RBB,BEACH FUZZ,WAL,SOUTH,11:39,0,0,0,0,0,,,0,0,0,0,FALSE,,
47,currentDB,3491,11/11/2013,11/13/2013,RBB,KNOT,WAL,SOUTH,11:38,0,0,10,0,10,,,0,0,0,10,FALSE,Flock flushed by ATV,
48,currentDB,3492,11/11/2013,11/13/2013,RBB,LEG,WAL,SOUTH,11:37,0,0,0,0,0,,,0,0,0,0,FALSE,,
49,currentDB,3493,11/11/2013,11/13/2013,RBB,TP,WAL,SOUTH,11:36,0,0,0,0,0,,,0,0,0,0,FALSE,,
50,currentDB,3494,11/11/2013,11/13/2013,RBB,LOUNGE,WAL,SOUTH,11:35,0,0,0,0,0,,,0,0,0,0,FALSE,,
51,currentDB,3495,11/11/2013,11/13/2013,RBB,SPLITLOG,WAL,SOUTH,11:32,0,0,0,0,0,,,0,0,0,0,FALSE,,
52,currentDB,3496,11/11/2013,11/13/2013,RBB,CIGAR,WAL,SOUTH,11:30,0,0,0,0,0,,,0,0,0,0,FALSE,,
53,currentDB,3497,11/11/2013,11/13/2013,RBB,BOWL,WAL,SOUTH,11:29,0,0,0,0,0,,,0,0,0,0,FALSE,,
54,currentDB,3498,11/11/2013,11/13/2013,RBB,TIKI,WAL,SOUTH,11:28,0,0,0,0,0,,,0,0,0,0,FALSE,,
55,currentDB,3499,11/11/2013,11/13/2013,RBB,TIP,SNO,SOUTH,11:26,0,0,0,0,0,,,0,0,0,0,FALSE,,
56,currentDB,3500,11/11/2013,11/13/2013,RBB,PILE,SNO,SOUTH,11:19,0,0,0,0,0,,,0,0,0,0,FALSE,,
57,currentDB,3501,11/11/2013,11/13/2013,RBB,FORK,SNO,SOUTH,11:18,0,0,0,0,0,,,0,0,0,0,FALSE,,
58,currentDB,3502,11/11/2013,11/13/2013,RBB,TOTEM,SNO,SOUTH,11:16,0,0,75,0,75,,,0,0,0,75,FALSE,"Flock flushed from Nsurfopen, then run into by ATV",
59,currentDB,3503,11/11/2013,11/13/2013,RBB,BOJUM,SNO,SOUTH,11:15,0,0,0,0,0,,,0,0,0,0,FALSE,,
60,currentDB,3504,11/11/2013,11/13/2013,RBB,BUOY,SNO,SOUTH,11:12,0,0,0,0,0,,,0,0,0,0,FALSE,,
61,currentDB,3505,11/11/2013,11/13/2013,RBB,NSURFOPEN,SNO,SOUTH,11:10,0,0,75,0,75,,,0,0,0,75,FALSE,,
62,currentDB,3506,11/11/2013,11/13/2013,RBB,SSURFCLOSED,SNO,SOUTH,11:05,0,0,0,0,0,,,0,0,0,0,FALSE,,
63,currentDB,3507,11/11/2013,11/13/2013,RBB,SIGN,SNO,SOUTH,11:00,0,0,0,0,0,,,0,0,0,0,FALSE,,
64,currentDB,3508,11/11/2013,11/13/2013,RBB,PAINT,SNO,SOUTH,10:59,0,0,0,0,0,,,0,0,0,0,FALSE,,
65,currentDB,3509,11/11/2013,11/13/2013,RBB,FORT,SNO,SOUTH,10:54,0,0,0,0,0,,,0,0,0,0,FALSE,,
66,currentDB,3510,11/11/2013,11/13/2013,RBB,PTRASH,SNO,SOUTH,10:49,0,0,10,0,10,,,0,0,0,10,FALSE,4 dogs off-leash flush all birds,
67,currentDB,3511,11/11/2013,11/13/2013,RBB,STOOL,SNO,SOUTH,10:45,0,0,0,0,0,,,0,0,0,0,FALSE,,
68,currentDB,3512,11/11/2013,11/13/2013,RBB,DROOP,SNO,SOUTH,10:40,0,0,0,0,0,,,0,0,0,0,FALSE,,
69,currentDB,3513,11/11/2013,11/13/2013,RBB,DRIFTWOOD,SNO,SOUTH,10:35,0,0,15,0,15,,,0,0,0,15,FALSE,,
70,currentDB,3514,11/11/2013,11/13/2013,RBB,BORDER TRAIL,SSO,SOUTH,10:30,0,0,5,0,5,,,0,0,0,5,FALSE,,
71,currentDB,3515,11/11/2013,11/13/2013,RBB,METEOR,SSO,SOUTH,10:23,0,0,0,0,0,,,0,0,0,0,FALSE,,
72,currentDB,3516,11/11/2013,11/13/2013,RBB,STUMP,SSO,SOUTH,10:20,0,0,0,0,0,,,0,0,0,0,FALSE,,
73,currentDB,3517,11/11/2013,11/13/2013,RBB,PEBBLE,SSO,SOUTH,10:16,0,0,0,0,0,,,0,0,0,0,FALSE,,
74,currentDB,3518,11/11/2013,11/13/2013,RBB,SQUID,SSO,SOUTH,10:12,0,0,0,0,0,,,0,0,0,0,FALSE,,
75,currentDB,3519,11/11/2013,11/13/2013,RBB,ELEPHANTSEAL,SSO,SOUTH,10:08,0,0,0,0,0,,,0,0,0,0,FALSE,,
76,currentDB,3520,11/11/2013,11/13/2013,RBB,WITCH,SSO,SOUTH,10:05,0,0,0,0,0,,,0,0,0,0,FALSE,,
77,currentDB,3521,11/11/2013,11/13/2013,RBB,CAMP,SSO,SOUTH,10:00,0,0,0,0,0,,,0,0,0,0,FALSE,,
78,currentDB,3522,11/11/2013,11/13/2013,RBB,OBVIOUSLOG,SSO,SOUTH,9:56,0,0,0,0,0,,,0,0,0,0,FALSE,,
79,currentDB,3523,11/11/2013,11/13/2013,RBB,4303BUOY,SSO,SOUTH,9:53,0,0,0,0,0,,,0,0,0,0,FALSE,,
80,currentDB,3524,11/11/2013,11/13/2013,RBB,ROCKBLUE,SSO,SOUTH,9:49,0,0,0,0,0,,,0,0,0,0,FALSE,,
81,currentDB,3525,11/11/2013,11/13/2013,RBB,FINGER,SSO,SOUTH,9:45,0,0,0,0,0,,,0,0,0,0,FALSE,,
82,currentDB,3526,11/11/2013,11/13/2013,RBB,GRANDCANYON,SSO,SOUTH,9:41,0,0,0,0,0,,,0,0,0,0,FALSE,,
83,currentDB,3527,11/11/2013,11/13/2013,RBB,AMPHITHEATRE,SSO,SOUTH,9:35,0,0,3,0,3,,,0,0,0,3,FALSE,,
84,currentDB,3528,11/11/2013,11/13/2013,RBB,UTAH,SSO,SOUTH,9:30,0,0,0,0,0,,,0,0,0,0,FALSE,,
85,currentDB,3529,11/11/2013,11/13/2013,RBB,ICELAVA,SSO,SOUTH,9:25,0,0,11,0,11,,,0,0,0,11,FALSE,,
86,currentDB,3530,11/11/2013,11/13/2013,RBB,DISC,SSO,SOUTH,9:20,0,0,0,0,0,,,0,0,0,0,FALSE,,
87,currentDB,3531,11/11/2013,11/13/2013,RBB,ENDCOVE,SSO,SOUTH,9:00,0,0,0,0,0,,,0,0,0,0,FALSE,,
88,currentDB,3532,11/11/2013,11/13/2013,LAH,MINIDUMP,SHS,NORTH,8:52,0,0,0,0,0,,,0,0,0,0,FALSE,,
89,currentDB,3533,11/11/2013,11/13/2013,LAH,OJ,SHS,NORTH,8:47,0,0,0,0,0,,,0,0,0,0,FALSE,,
90,currentDB,3534,11/11/2013,11/13/2013,LAH,BOTTLEBUOY,SHS,NORTH,8:44,0,0,0,0,0,,,0,0,0,0,FALSE,,
91,currentDB,3535,11/11/2013,11/13/2013,LAH,MOLE,SHS,NORTH,8:38,0,0,0,0,0,,,0,0,0,0,FALSE,,
92,currentDB,3536,11/11/2013,11/13/2013,LAH,BOTTLELOG,SHS,NORTH,8:33,0,0,0,0,0,,,0,0,0,0,FALSE,,
93,currentDB,3537,11/11/2013,11/13/2013,LAH,TRILOG,SHS,NORTH,8:30,0,0,0,0,0,,,0,0,0,0,FALSE,,
94,currentDB,3538,11/11/2013,11/13/2013,LAH,SHSEND,SAN,NORTH,8:27,0,0,0,0,0,,,0,0,0,0,FALSE,,
95,currentDB,3539,11/11/2013,11/13/2013,LAH,ARROWHEAD,SAN,NORTH,8:23,0,0,0,0,0,,,0,0,0,0,FALSE,,
96,currentDB,3540,11/11/2013,11/13/2013,LAH,L13BUOY,SAN,NORTH,8:20,0,0,0,0,0,,,0,0,0,0,FALSE,,
97,currentDB,3541,11/11/2013,11/13/2013,LAH,NICEPERCH,SAN,NORTH,8:18,0,0,0,0,0,,,0,0,0,0,FALSE,,
98,currentDB,3542,11/11/2013,11/13/2013,LAH,TOMBSTONE,SAN,NORTH,8:15,0,0,0,0,0,,,0,0,0,0,FALSE,,
99,currentDB,3543,11/11/2013,11/13/2013,LAH,TREX,SAN,NORTH,8:10,0,0,0,0,0,,,0,0,0,0,FALSE,,
100,currentDB,3350,12/9/2013,12/12/2013,RBB,DEADBUG,SAN,NORTH,9:30,0,0,0,0,0,,,0,0,0,0,FALSE,,
101,currentDB,3351,12/9/2013,12/12/2013,RBB,TEETER,SAN,NORTH,9:38,0,0,0,0,0,,,0,0,0,0,FALSE,,
102,currentDB,3352,12/9/2013,12/12/2013,RBB,SHORTRIBS,SAN,NORTH,9:45,0,0,0,0,0,,,0,0,0,0,FALSE,,
103,currentDB,3353,12/9/2013,12/12/2013,RBB,ELEPHGRAVE,SAN,NORTH,9:55,0,0,0,0,0,,,0,0,0,0,FALSE,,
104,currentDB,3354,12/9/2013,12/12/2013,RBB,STIX,SAN,NORTH,9:59,0,0,0,0,0,,,0,0,0,0,FALSE,,
105,currentDB,3355,12/9/2013,12/12/2013,RBB,JUGHEAD,SAN,NORTH,10:05,0,0,0,0,0,,,0,0,0,0,FALSE,,
106,currentDB,3356,12/9/2013,12/12/2013,RBB,TRASH,SAN,NORTH,10:10,0,0,0,0,0,,,0,0,0,0,FALSE,,
107,currentDB,3357,12/9/2013,12/12/2013,RBB,PICKUPSTIX,SAN,NORTH,10:13,0,0,0,0,0,,,0,0,0,0,FALSE,,
108,currentDB,3358,12/9/2013,12/12/2013,RBB,WISHBONE,SAN,NORTH,10:16,0,0,0,0,0,,,0,0,0,0,FALSE,,
109,currentDB,3359,12/9/2013,12/12/2013,RBB,GROSS,SAN,NORTH,10:18,0,0,0,0,0,,,0,0,0,0,FALSE,,
110,currentDB,3360,12/9/2013,12/12/2013,RBB,TURTLE,SAN,NORTH,10:21,0,0,12,0,12,,,0,0,0,12,FALSE,,
111,currentDB,3361,12/9/2013,12/12/2013,RBB,BOAT,SAN,NORTH,10:28,0,0,0,0,0,,,0,0,0,0,FALSE,,
112,currentDB,3362,12/9/2013,12/12/2013,RBB,NARROWS,SAN,NORTH,10:35,0,0,6,0,6,,,0,0,0,6,FALSE,,
113,currentDB,3544,12/9/2013,12/12/2013,LAH,MINOPEN,MIN,NORTH,12:25,0,0,0,0,0,,,0,0,0,0,FALSE,,
114,currentDB,3545,12/9/2013,12/12/2013,LAH,MINBORDER,MIN,NORTH,12:21,0,0,0,0,0,,,0,0,0,0,FALSE,,
115,currentDB,3546,12/9/2013,12/12/2013,LAH,TUVU,MIN,NORTH,12:18,0,0,0,0,0,,,0,0,0,0,FALSE,,
116,currentDB,3547,12/9/2013,12/12/2013,LAH,ALLIGATOR,MIN,NORTH,12:15,0,0,0,0,0,,,0,0,0,0,FALSE,,
117,currentDB,3548,12/9/2013,12/12/2013,LAH,CHEST,MIN,NORTH,12:09,0,0,0,0,0,,,0,0,0,0,FALSE,,
118,currentDB,3549,12/9/2013,12/12/2013,LAH,ANCHOR,MIN,NORTH,12:05,0,0,0,0,0,,,0,0,0,0,FALSE,,
119,currentDB,3550,12/9/2013,12/12/2013,LAH,SHCREEK,SHN,NORTH,11:30,0,0,18,0,13,,,0,0,0,18,FALSE,,
120,currentDB,3551,12/9/2013,12/12/2013,LAH,NEEDLE,SHN,NORTH,11:26,0,0,0,0,0,,,0,0,0,0,FALSE,,
121,currentDB,3552,12/9/2013,12/12/2013,LAH,BOINGI,SHN,NORTH,11:22,0,0,0,0,0,,,0,0,0,0,FALSE,,
122,currentDB,3553,12/9/2013,12/12/2013,LAH,SCAFFOLDING,SHN,NORTH,11:19,0,0,0,0,0,,,0,0,0,0,FALSE,,
123,currentDB,3554,12/9/2013,12/12/2013,LAH,PIXIE,SHN,NORTH,11:15,0,0,0,0,0,,,0,0,0,0,FALSE,,
124,currentDB,3555,12/9/2013,12/12/2013,LAH,SEADRAGON,SHN,NORTH,11:10,0,0,0,0,0,,,0,0,0,0,FALSE,,
125,currentDB,3556,12/9/2013,12/12/2013,LAH,PILLOW,SHN,NORTH,11:05,0,0,0,0,0,,,0,0,0,0,FALSE,,
126,currentDB,3557,12/9/2013,12/12/2013,LAH,CLUB,SHN,NORTH,10:55,1,0,2,0,3,,,0,0,0,3,FALSE,,
127,currentDB,3558,12/9/2013,12/12/2013,LAH,HOOF,SHN,NORTH,10:45,0,0,0,0,0,,,0,0,0,0,FALSE,,
128,currentDB,3559,12/9/2013,12/12/2013,LAH,TIRE,SHN,NORTH,10:40,0,0,0,0,0,,,0,0,0,0,FALSE,,
129,currentDB,3560,12/9/2013,12/12/2013,LAH,THIRSTY,SHN,NORTH,10:36,0,0,0,0,0,,,0,0,0,0,FALSE,,
130,currentDB,3561,12/9/2013,12/12/2013,LAH,BOB,SHN,NORTH,10:30,0,0,0,0,0,,,0,0,0,0,FALSE,,
131,currentDB,3562,12/9/2013,12/12/2013,LAH,ROLLINGROCK,SHN,NORTH,10:25,0,0,0,0,0,,,0,0,0,0,FALSE,,
132,currentDB,3563,12/9/2013,12/12/2013,LAH,SHSSTART,SHS,NORTH,10:20,0,0,0,0,0,,,0,0,0,0,FALSE,,
133,currentDB,3564,12/9/2013,12/12/2013,LAH,RAINBOWSPIN,SHS,NORTH,10:15,0,0,0,0,0,,,0,0,0,0,FALSE,,
134,currentDB,3565,12/9/2013,12/12/2013,LAH,BUOYFARM,SHS,NORTH,10:10,0,0,2,0,0,,,0,0,0,2,FALSE,,
135,currentDB,3566,12/9/2013,12/12/2013,LAH,RUPAUL,SHS,NORTH,10:05,0,0,0,0,0,,,0,0,0,0,FALSE,,
136,currentDB,3567,12/9/2013,12/12/2013,LAH,MINIDUMP,SHS,NORTH,9:57,0,0,0,0,0,,,0,0,0,0,FALSE,,
137,currentDB,3568,12/9/2013,12/12/2013,LAH,OJ,SHS,NORTH,9:54,0,0,0,0,0,,,0,0,0,0,FALSE,,
138,currentDB,3569,12/9/2013,12/12/2013,LAH,BOTTLEBUOY,SHS,NORTH,9:47,0,0,0,0,0,,,0,0,0,0,FALSE,,
139,currentDB,3570,12/9/2013,12/12/2013,LAH,MOLE,SHS,NORTH,9:37,0,0,0,0,0,,,0,0,0,0,FALSE,,
140,currentDB,3571,12/9/2013,12/12/2013,LAH,BOTTLELOG,SHS,NORTH,9:30,0,0,0,0,0,,,0,0,0,0,FALSE,,
141,currentDB,3572,12/9/2013,12/12/2013,LAH,TRILOG,SHS,NORTH,9:24,0,0,0,0,0,,,0,0,0,0,FALSE,,
142,currentDB,3573,12/9/2013,12/12/2013,LAH,SHSEND,SAN,NORTH,9:20,0,0,0,0,0,,,0,0,0,0,FALSE,,
143,currentDB,3574,12/9/2013,12/12/2013,LAH,ARROWHEAD,SAN,NORTH,9:17,0,0,0,0,0,,,0,0,0,0,FALSE,,
144,currentDB,3575,12/9/2013,12/12/2013,LAH,L13BUOY,SAN,NORTH,9:15,0,0,0,0,0,,,0,0,0,0,FALSE,,
145,currentDB,3576,12/9/2013,12/12/2013,LAH,NICEPERCH,SAN,NORTH,9:13,0,0,0,0,0,,,0,0,0,0,FALSE,,
146,currentDB,3577,12/9/2013,12/12/2013,LAH,TOMBSTONE,SAN,NORTH,9:10,0,0,0,0,0,,,0,0,0,0,FALSE,,
147,currentDB,3578,12/9/2013,12/12/2013,LAH,TREX,SAN,NORTH,9:05,0,0,0,0,0,,,0,0,0,0,FALSE,,
148,currentDB,3579,12/9/2013,12/12/2013,LAH,GEEK,SAN,NORTH,9:00,0,0,0,0,0,,,0,0,0,0,FALSE,,
149,currentDB,3580,12/9/2013,12/12/2013,JKM,WALL OPEN,WAL,SOUTH,13:24,0,0,2,0,0,,,0,0,0,2,FALSE,,
150,currentDB,3581,12/9/2013,12/12/2013,JKM,WALLBORDER,WAL,SOUTH,13:18,0,0,2,0,0,,,0,0,0,2,FALSE,,
151,currentDB,3582,12/9/2013,12/12/2013,JKM,WILLOW,WAL,SOUTH,13:15,0,0,3,0,0,,,0,0,0,3,FALSE,,
152,currentDB,3583,12/9/2013,12/12/2013,JKM,CANON,WAL,SOUTH,13:11,0,0,0,0,0,,,0,0,0,0,FALSE,,
153,currentDB,3584,12/9/2013,12/12/2013,JKM,BEACH FUZZ,WAL,SOUTH,13:07,0,0,3,0,0,,,0,0,0,3,FALSE,,
154,currentDB,3585,12/9/2013,12/12/2013,JKM,KNOT,WAL,SOUTH,13:05,0,0,1,0,0,,,0,0,0,1,FALSE,,
155,currentDB,3586,12/9/2013,12/12/2013,JKM,LEG,WAL,SOUTH,13:01,1,0,2,0,0,,,0,0,0,3,FALSE,,
156,currentDB,3587,12/9/2013,12/12/2013,JKM,TP,WAL,SOUTH,12:59,0,0,2,0,0,,,0,0,0,2,FALSE,,
157,currentDB,3588,12/9/2013,12/12/2013,JKM,LOUNGE,WAL,SOUTH,12:56,0,0,1,0,0,,,0,0,0,1,FALSE,,
158,currentDB,3589,12/9/2013,12/12/2013,JKM,SPLITLOG,WAL,SOUTH,12:52,0,0,1,0,0,,,0,0,0,1,FALSE,,
159,currentDB,3590,12/9/2013,12/12/2013,JKM,CIGAR,WAL,SOUTH,12:49,0,0,1,0,0,,,0,0,0,1,FALSE,,
160,currentDB,3591,12/9/2013,12/12/2013,JKM,BOWL,WAL,SOUTH,12:46,0,0,1,0,0,,,0,0,0,1,FALSE,,
161,currentDB,3592,12/9/2013,12/12/2013,JKM,TIKI,WAL,SOUTH,12:39,0,0,7,0,5,,,0,0,0,7,FALSE,,
162,currentDB,3593,12/9/2013,12/12/2013,JKM,TIP,SNO,SOUTH,12:35,0,0,2,0,0,,,0,0,0,2,FALSE,,
163,currentDB,3594,12/9/2013,12/12/2013,JKM,PILE,SNO,SOUTH,12:30,0,0,1,0,0,,,0,0,0,1,FALSE,,
164,currentDB,3595,12/9/2013,12/12/2013,JKM,FORK,SNO,SOUTH,12:27,1,0,1,0,0,,,0,0,0,2,FALSE,,
165,currentDB,3596,12/9/2013,12/12/2013,JKM,TOTEM,SNO,SOUTH,12:25,0,0,0,0,0,,,0,0,0,0,FALSE,,
166,currentDB,3597,12/9/2013,12/12/2013,JKM,BOJUM,SNO,SOUTH,12:20,0,0,4,0,0,,,0,0,0,4,FALSE,,
167,currentDB,3598,12/9/2013,12/12/2013,JKM,BUOY,SNO,SOUTH,12:10,0,0,2,0,0,,,0,0,0,2,FALSE,,
168,currentDB,3599,12/9/2013,12/12/2013,JKM,NSURFOPEN,SNO,SOUTH,11:50,1,0,9,0,0,,,0,0,0,10,FALSE,,
169,currentDB,3600,12/9/2013,12/12/2013,JKM,SSURFCLOSED,SNO,SOUTH,11:46,0,0,0,0,0,,,0,0,0,0,FALSE,,
170,currentDB,3601,12/9/2013,12/12/2013,JKM,SIGN,SNO,SOUTH,11:40,0,0,3,0,0,,,0,0,0,3,FALSE,,
171,currentDB,3602,12/9/2013,12/12/2013,JKM,PAINT,SNO,SOUTH,11:38,1,0,1,0,0,,,0,0,0,2,FALSE,,
172,currentDB,3603,12/9/2013,12/12/2013,JKM,FORT,SNO,SOUTH,11:35,0,0,1,0,0,,,0,0,0,1,FALSE,,
173,currentDB,3604,12/9/2013,12/12/2013,JKM,PTRASH,SNO,SOUTH,11:31,1,0,1,0,0,,,0,0,0,2,FALSE,,
174,currentDB,3605,12/9/2013,12/12/2013,JKM,STOOL,SNO,SOUTH,11:29,0,0,2,0,0,,,0,0,0,2,FALSE,,
175,currentDB,3606,12/9/2013,12/12/2013,JKM,DROOP,SNO,SOUTH,11:25,0,0,2,0,0,,,0,0,0,2,FALSE,,
176,currentDB,3607,12/9/2013,12/12/2013,JKM,DRIFTWOOD,SNO,SOUTH,11:22,0,0,0,0,0,,,0,0,0,0,FALSE,,
177,currentDB,3608,12/9/2013,12/12/2013,JKM,BORDER TRAIL,SSO,SOUTH,11:20,0,0,1,0,0,,,0,0,0,1,FALSE,,
178,currentDB,3609,12/9/2013,12/12/2013,JKM,METEOR,SSO,SOUTH,11:17,0,0,0,0,0,,,0,0,0,0,FALSE,,
179,currentDB,3610,12/9/2013,12/12/2013,JKM,STUMP,SSO,SOUTH,11:13,0,0,6,0,3,,,0,0,0,6,FALSE,,
180,currentDB,3611,12/9/2013,12/12/2013,JKM,PEBBLE,SSO,SOUTH,11:08,0,0,2,0,0,,,0,0,0,2,FALSE,,
181,currentDB,3612,12/9/2013,12/12/2013,JKM,SQUID,SSO,SOUTH,11:05,0,0,1,0,0,,,0,0,0,1,FALSE,,
