ID,Survey Date,Monitor Initials,Transect Block,Time,Males Individual,Total Male,Females Individual,Total Female,Unknown Individual,Pairs,Flock,Birds Checked,Banded,Juvenile,Chicks,Brood,Coyote Tracks,Pig Tracks,Raccoon Tracks,Wrack,Seagrass,Wrack Assessed,Wrack Exclude,Transect Block Notes,Proofed
39,3/11/2015,JKM,POCKET2,14:10,13,13,0,0,45,0,58,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,some banded birds are repeats from other areas,TRUE
40,3/11/2015,JKM,PURISIMACOL,13:50,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"scanned, not walked",TRUE
44,3/16/2015,JKM,TREX,9:54,0,0,0,0,0,0,0,,,0,0,0,FALSE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
45,3/16/2015,JKM,GEEK,9:59,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
46,3/16/2015,JKM,DEADBUG,10:08,3,3,0,0,25,0,28,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
47,3/16/2015,JKM,TEETER,10:19,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
48,3/16/2015,JKM,SHORTRIBS,10:25,0,0,0,0,5,0,5,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
49,3/16/2015,JKM,ELEPHGRAVE,10:31,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
50,3/16/2015,JKM,STIX,10:38,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
51,3/16/2015,JKM,JUGHEAD,10:41,1,1,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
52,3/16/2015,JKM,TRASH,10:52,0,1,0,1,0,1,0,,,0,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
53,3/16/2015,JKM,PICKUPSTIX,10:59,0,0,0,0,0,0,0,,,0,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
54,3/16/2015,JKM,WISHBONE,11:05,0,0,0,0,1,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
55,3/16/2015,JKM,GROSS,11:07,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
56,3/16/2015,JKM,TURTLE,11:18,2,2,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,,TRUE
57,3/16/2015,JKM,BOAT,11:25,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
58,3/16/2015,JKM,NARROWS,11:35,3,3,0,0,6,0,9,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
59,3/16/2015,JKM,COBBLE,12:15,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
60,3/16/2015,JKM,POCKET1,12:38,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
61,3/16/2015,JKM,POCKET2,12:53,2,2,0,0,4,0,5,,,0,0,0,TRUE,FALSE,FALSE,1-2,TRUE,FALSE,FALSE,,TRUE
62,3/16/2015,JKM,PURISIMACOL,13:30,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,,TRUE
69,3/19/2015,JKM,MINOPEN,9:05,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
70,3/19/2015,JKM,MINBORDER,9:15,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
71,3/19/2015,JKM,TUVU,9:22,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
72,3/19/2015,JKM,ALLIGATOR,9:26,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
73,3/19/2015,JKM,CHEST,9:28,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
74,3/19/2015,JKM,ANCHOR,9:33,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1-2,TRUE,FALSE,FALSE,,TRUE
75,3/19/2015,JKM,SHCREEK,9:38,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
76,3/19/2015,JKM,NEEDLE,9:46,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
77,3/19/2015,JKM,BOINGI,9:52,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
78,3/19/2015,JKM,SCAFFOLDING,10:00,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
79,3/19/2015,JKM,PIXIE,10:09,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1-2,TRUE,FALSE,FALSE,dying sea otter,TRUE
80,3/19/2015,JKM,SEADRAGON,10:50,0,0,0,0,0,0,0,,,0,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
81,3/19/2015,JKM,PILLOW,10:54,0,0,0,0,0,0,0,,,0,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
82,3/19/2015,JKM,CLUB,10:57,0,0,0,0,0,0,0,,,0,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
83,3/19/2015,JKM,HOOF,11:06,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
84,3/19/2015,JKM,TIRE,11:10,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
85,3/19/2015,JKM,THIRSTY,11:17,2,2,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
86,3/19/2015,JKM,BOB,11:21,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1-2,TRUE,FALSE,FALSE,,TRUE
87,3/19/2015,JKM,ROLLINGROCK,11:31,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
88,3/19/2015,JKM,SHSSTART,11:39,2,2,0,0,2,0,4,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
89,3/19/2015,JKM,RAINBOWSPIN,11:52,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
90,3/19/2015,JKM,BUOYFARM,11:56,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
91,3/19/2015,JKM,RUPAUL,12:01,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
92,3/19/2015,JKM,MINIDUMP,12:05,0,0,0,0,0,0,0,,,0,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
93,3/19/2015,JKM,OJ,12:11,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
94,3/19/2015,JKM,BOTTLEBUOY,12:18,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
95,3/19/2015,JKM,MOLE,12:30,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
96,3/19/2015,JKM,BOTTLELOG,12:33,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
97,3/19/2015,JKM,TRILOG,12:37,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
98,3/19/2015,JKM,SHSEND,12:42,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
99,3/19/2015,JKM,ARROWHEAD,12:48,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
100,3/19/2015,JKM,L13BUOY,12:53,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
101,3/19/2015,JKM,NICEPERCH,12:55,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
102,3/19/2015,JKM,TOMBSTONE,13:00,2,3,0,1,2,1,4,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
103,3/11/2015,JKM,MINOPEN,9:26,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,3 fishermen,TRUE
104,3/11/2015,JKM,MINBORDER,9:30,0,0,0,0,0,0,0,,,0,0,0,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
105,3/11/2015,JKM,TUVU,9:35,0,0,0,0,0,0,0,,,0,0,0,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
106,3/11/2015,JKM,ALLIGATOR,9:40,0,0,0,0,0,0,0,,,0,0,0,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
107,3/11/2015,JKM,CHEST,9:42,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
108,3/11/2015,JKM,ANCHOR,9:46,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
109,3/11/2015,JKM,SHCREEK,9:50,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
110,3/11/2015,JKM,NEEDLE,9:55,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
111,3/11/2015,JKM,BOINGI,10:00,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
112,3/11/2015,JKM,SCAFFOLDING,10:05,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
113,3/11/2015,JKM,PIXIE,10:17,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
114,3/11/2015,JKM,SEADRAGON,10:30,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
115,3/11/2015,JKM,PILLOW,10:33,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
116,3/11/2015,JKM,CLUB,10:35,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
117,3/11/2015,JKM,HOOF,10:39,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
118,3/11/2015,JKM,TIRE,10:50,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
119,3/11/2015,JKM,THIRSTY,10:54,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
120,3/11/2015,JKM,BOB,11:02,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
121,3/11/2015,JKM,ROLLINGROCK,11:07,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
122,3/11/2015,JKM,SHSSTART,11:15,2,2,1,1,0,0,3,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
123,3/11/2015,JKM,RAINBOWSPIN,11:35,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
124,3/11/2015,JKM,BUOYFARM,11:41,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
125,3/11/2015,JKM,RUPAUL,11:47,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
126,3/11/2015,JKM,MINIDUMP,11:53,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
127,3/11/2015,JKM,OJ,12:00,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
128,3/11/2015,JKM,BOTTLEBUOY,12:04,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
129,3/11/2015,JKM,MOLE,12:09,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
130,3/11/2015,JKM,BOTTLELOG,12:16,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
131,3/11/2015,JKM,TRILOG,12:25,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
132,3/9/2015,LAH,WALL OPEN,9:12,11,11,4,4,13,0,28,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
133,3/9/2015,LAH,WALLBORDER,9:44,2,2,0,0,5,0,7,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
134,3/9/2015,LAH,WILLOW,10:00,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
135,3/9/2015,LAH,CANON,10:12,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
136,3/9/2015,LAH,BEACH FUZZ,10:21,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
137,3/9/2015,LAH,KNOT,10:34,1,1,0,0,1,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
138,3/9/2015,LAH,LEG,10:55,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
139,3/9/2015,LAH,TP,11:02,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
140,3/9/2015,LAH,LOUNGE,11:06,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
141,3/9/2015,LAH,SPLITLOG,11:24,1,1,0,0,6,0,7,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
142,3/9/2015,LAH,CIGAR,11:37,2,2,3,3,0,0,5,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
143,3/9/2015,LAH,BOWL,11:47,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
144,3/9/2015,LAH,TIKI,11:55,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
145,3/9/2015,LAH,TIP,12:00,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
146,3/9/2015,LAH,PILE,12:18,0,0,1,1,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
147,3/9/2015,LAH,FORK,12:30,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
148,3/9/2015,LAH,TOTEM,12:35,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
149,3/9/2015,LAH,BOJUM,12:45,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
150,3/9/2015,LAH,BUOY,12:55,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
152,3/20/2015,LAH,WALL OPEN,10:00,2,2,0,0,3,0,5,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
153,3/20/2015,LAH,WALLBORDER,10:15,5,5,2,2,4,0,11,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
154,3/20/2015,LAH,WILLOW,10:06,4,4,0,0,1,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
155,3/20/2015,LAH,CANON,10:00,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
156,3/20/2015,LAH,BEACH FUZZ,9:55,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
157,3/20/2015,LAH,KNOT,9:50,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
158,3/20/2015,LAH,LEG,9:45,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,3,TRUE,FALSE,FALSE,,TRUE
159,3/20/2015,LAH,TP,9:35,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
160,3/20/2015,LAH,LOUNGE,9:20,3,3,0,0,2,0,0,,,0,0,0,TRUE,FALSE,FALSE,3,TRUE,FALSE,FALSE,,TRUE
161,3/20/2015,LAH,SPLITLOG,9:18,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
162,3/20/2015,LAH,CIGAR,9:15,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
163,3/20/2015,LAH,BOWL,9:10,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
165,3/23/2015,LAH,SSURFCLOSED,12:12,1,1,0,0,1,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
166,3/23/2015,LAH,SIGN,12:05,2,2,0,0,7,0,9,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
167,3/23/2015,LAH,PAINT,11:55,0,1,1,2,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
168,3/23/2015,LAH,FORT,11:42,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,,TRUE
169,3/23/2015,LAH,PTRASH,11:37,0,0,1,1,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
170,3/23/2015,LAH,STOOL,11:30,3,4,0,1,9,1,12,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
171,3/23/2015,LAH,DROOP,11:10,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
172,3/23/2015,LAH,DRIFTWOOD,10:56,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
173,3/23/2015,LAH,BORDER TRAIL,10:54,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
174,3/23/2015,LAH,METEOR,10:44,0,0,0,0,1,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
175,3/23/2015,LAH,STUMP,10:40,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
176,3/23/2015,LAH,PEBBLE,10:30,2,2,1,1,5,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
177,3/23/2015,LAH,SQUID,10:25,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
178,3/23/2015,LAH,ELEPHANTSEAL,10:20,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
179,3/23/2015,LAH,WITCH,10:14,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
180,3/23/2015,LAH,CAMP,10:10,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
181,3/23/2015,LAH,OBVIOUSLOG,10:06,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,,TRUE
182,3/23/2015,LAH,4303BUOY,10:02,0,1,0,1,0,1,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
