ID,Survey_week,Survey Date,Monitor Initials,Transect Block,Time,Coyote Tracks,Pig Tracks,Raccoon Tracks,Wrack,Seagrass,Wrack Assessed,Wrack Exclude
29,4/11/2011,4/14/2011,RBB,LEG,9:06,No,No,No,-9,,,
30,4/11/2011,4/14/2011,RBB,TP,9:09,No,No,No,-9,,,
31,4/11/2011,4/14/2011,RBB,LOUNGE,9:13,No,No,No,-9,,,
33,4/11/2011,4/14/2011,RBB,SPLITLOG,9:24,No,No,No,-9,,,
34,4/11/2011,4/14/2011,RBB,CIGAR,9:28,No,No,No,-9,,,
35,4/11/2011,4/14/2011,RBB,BOWL,9:35,No,No,No,-9,,,
36,4/11/2011,4/14/2011,RBB,TIKI,9:40,No,No,No,-9,,,
37,4/11/2011,4/14/2011,RBB,BUOY,10:00,No,No,No,-9,,,
10,4/11/2011,4/15/2011,RBB,WALL OPEN,7:00,No,No,No,-9,,,
11,4/11/2011,4/15/2011,RBB,WALLBORDER,7:15,No,No,No,-9,,,
13,4/11/2011,4/15/2011,RBB,WILLOW,7:20,No,No,No,-9,,,
14,4/11/2011,4/15/2011,RBB,CANON,7:28,No,No,No,-9,,,
15,4/11/2011,4/15/2011,RBB,BEACH FUZZ,7:30,No,No,No,-9,,,
16,4/11/2011,4/15/2011,RBB,KNOT,7:32,No,No,No,-9,,,
17,4/11/2011,4/15/2011,RBB,LEG,7:36,No,No,No,-9,,,
18,4/11/2011,4/15/2011,RBB,TP,7:38,No,No,No,-9,,,
19,4/11/2011,4/15/2011,RBB,LOUNGE,7:40,No,No,No,-9,,,
21,4/11/2011,4/15/2011,RBB,SPLITLOG,8:00,No,No,No,-9,,,
1,4/11/2011,4/16/2011,TRC,WALL OPEN,6:33,No,No,No,-9,,,
2,4/11/2011,4/16/2011,TRC,WALLBORDER,6:39,No,No,No,-9,,,
4,4/11/2011,4/16/2011,TRC,WILLOW,6:45,No,No,No,-9,,,
5,4/11/2011,4/16/2011,TRC,CANON,6:49,No,No,No,-9,,,
68,5/9/2011,5/11/2011,JKM,ARROWHEAD,8:20,No,No,No,-9,,,
67,5/9/2011,5/11/2011,JKM,SHSEND,8:20,No,No,No,-9,,,
73,5/9/2011,5/11/2011,JKM,GEEK,8:56,No,No,No,-9,,,
74,5/9/2011,5/11/2011,JKM,DEADBUG,9:12,No,No,No,-9,,,
76,5/9/2011,5/11/2011,JKM,SHORTRIBS,9:40,No,No,No,-9,,,
77,5/9/2011,5/11/2011,JKM,ELEPHGRAVE,10:03,No,No,No,-9,,,
78,5/9/2011,5/11/2011,JKM,STIX,10:09,No,No,No,-9,,,
79,5/9/2011,5/11/2011,JKM,JUGHEAD,10:40,No,No,No,-9,,,
80,5/9/2011,5/11/2011,JKM,TRASH,10:51,No,No,No,-9,,,
82,5/9/2011,5/11/2011,JKM,WISHBONE,11:21,No,No,No,-9,,,
83,5/9/2011,5/11/2011,JKM,GROSS,11:29,No,No,No,-9,,,
84,5/9/2011,5/11/2011,JKM,TURTLE,11:44,No,No,No,-9,,,
85,5/9/2011,5/11/2011,JKM,BOAT,11:56,No,No,No,-9,,,
86,5/9/2011,5/11/2011,JKM,NARROWS,12:08,No,No,No,-9,,,
87,5/9/2011,5/11/2011,JKM,COBBLE,12:35,No,No,No,-9,,,
91,5/9/2011,5/11/2011,JKM,SLC10,12:42,No,No,No,-9,,,
88,5/9/2011,5/11/2011,JKM,POCKET1,12:58,No,No,No,-9,,,
89,5/9/2011,5/11/2011,JKM,POCKET2,13:23,No,No,No,-9,,,
90,5/9/2011,5/11/2011,JKM,PURISIMACOL,13:40,No,No,No,-9,,,
69,5/9/2011,5/11/2011,JKM,L13BUOY,13:45,No,No,No,-9,,,
70,5/9/2011,5/11/2011,JKM,NICEPERCH,13:50,No,No,No,-9,,,
81,5/9/2011,5/11/2011,JKM,PICKUPSTIX,13:55,No,No,No,-9,,,
75,5/9/2011,5/11/2011,JKM,TEETER,14:00,No,No,No,-9,,,
71,5/9/2011,5/11/2011,JKM,TOMBSTONE,14:05,No,No,No,-9,,,
72,5/9/2011,5/11/2011,JKM,TREX,14:10,No,No,No,-9,,,
1511,5/9/2011,5/11/2011,RBB,WALL OPEN,8:00,No,No,No,-9,,,
1514,5/9/2011,5/11/2011,RBB,WALLBORDER,8:16,No,No,No,-9,,,
1513,5/9/2011,5/11/2011,RBB,WILLOW,8:20,No,No,No,-9,,,
1515,5/9/2011,5/11/2011,RBB,CANON,8:22,No,No,No,-9,,,
1516,5/9/2011,5/11/2011,RBB,BEACH FUZZ,8:25,No,No,No,-9,,,
1517,5/9/2011,5/11/2011,RBB,KNOT,8:27,No,No,No,-9,,,
1518,5/9/2011,5/11/2011,RBB,LEG,8:34,No,No,No,-9,,,
1519,5/9/2011,5/11/2011,RBB,TP,8:37,No,No,No,-9,,,
1520,5/9/2011,5/11/2011,RBB,LOUNGE,8:41,No,No,No,-9,,,
1522,5/9/2011,5/11/2011,RBB,SPLITLOG,8:45,No,No,No,-9,,,
1523,5/9/2011,5/11/2011,RBB,CIGAR,8:52,No,No,No,-9,,,
1524,5/9/2011,5/11/2011,RBB,TIP,9:25,No,No,No,-9,,,
1525,5/9/2011,5/11/2011,RBB,PILE,9:47,No,No,No,-9,,,
1526,5/9/2011,5/11/2011,RBB,FORK,9:50,No,No,No,-9,,,
1527,5/9/2011,5/11/2011,RBB,TOTEM,9:57,No,No,No,-9,,,
1528,5/9/2011,5/11/2011,RBB,BOJUM,10:00,No,No,No,-9,,,
1529,5/9/2011,5/11/2011,RBB,BUOY,10:05,No,No,No,-9,,,
1530,5/9/2011,5/11/2011,RBB,NSURFOPEN,10:07,No,No,No,-9,,,
1531,5/9/2011,5/11/2011,RBB,SSURFCLOSED,10:22,No,No,No,-9,,,
1533,5/9/2011,5/11/2011,RBB,SIGN,10:42,No,No,No,-9,,,
1534,5/9/2011,5/11/2011,RBB,PAINT,10:48,No,No,No,-9,,,
1535,5/9/2011,5/11/2011,RBB,FORT,10:53,No,No,No,-9,,,
1536,5/9/2011,5/11/2011,RBB,PTRASH,10:57,No,No,No,-9,,,
1537,5/9/2011,5/11/2011,RBB,DROOP,11:00,No,No,No,-9,,,
1539,5/9/2011,5/11/2011,RBB,DRIFTWOOD,11:10,No,No,No,-9,,,
1541,5/9/2011,5/11/2011,RBB,BORDER TRAIL,11:17,No,No,No,-9,,,
1542,5/9/2011,5/11/2011,RBB,METEOR,11:18,No,No,No,-9,,,
1543,5/9/2011,5/11/2011,RBB,STUMP,11:19,No,No,No,-9,,,
1544,5/9/2011,5/11/2011,RBB,PEBBLE,11:20,No,No,No,-9,,,
1545,5/9/2011,5/11/2011,RBB,SQUID,11:26,No,No,No,-9,,,
1547,5/9/2011,5/11/2011,RBB,WITCH,11:32,No,No,No,-9,,,
1548,5/9/2011,5/11/2011,RBB,CAMP,11:35,No,No,No,-9,,,
1546,5/9/2011,5/11/2011,RBB,ELEPHANTSEAL,11:36,No,No,No,-9,,,
1549,5/9/2011,5/11/2011,RBB,OBVIOUSLOG,11:38,No,No,No,-9,,,
1550,5/9/2011,5/11/2011,RBB,4303BUOY,11:40,No,No,No,-9,,,
1551,5/9/2011,5/11/2011,RBB,ROCKBLUE,11:43,No,No,No,-9,,,
1552,5/9/2011,5/11/2011,RBB,FINGER,11:45,No,No,No,-9,,,
1553,5/9/2011,5/11/2011,RBB,GRANDCANYON,11:53,No,No,No,-9,,,
1554,5/9/2011,5/11/2011,RBB,UTAH,12:00,No,No,No,-9,,,
1555,5/9/2011,5/11/2011,RBB,ICELAVA,12:10,No,No,No,-9,,,
1556,5/9/2011,5/11/2011,RBB,DISC,12:20,No,No,No,-9,,,
38,5/9/2011,5/11/2011,TRC,MINOPEN,7:04,No,No,No,-9,,,
39,5/9/2011,5/11/2011,TRC,MINBORDER,7:15,No,No,No,-9,,,
42,5/9/2011,5/11/2011,TRC,CHEST,7:34,Yes,No,No,-9,,,
40,5/9/2011,5/11/2011,TRC,TUVU,7:35,No,No,No,-9,,,
41,5/9/2011,5/11/2011,TRC,ALLIGATOR,7:45,No,No,No,-9,,,
43,5/9/2011,5/11/2011,TRC,ANCHOR,8:06,No,No,No,-9,,,
44,5/9/2011,5/11/2011,TRC,SHCREEK,8:19,Yes,No,No,-9,,,
45,5/9/2011,5/11/2011,TRC,NEEDLE,8:26,No,No,No,-9,,,
46,5/9/2011,5/11/2011,TRC,BOINGI,8:32,No,No,No,-9,,,
47,5/9/2011,5/11/2011,TRC,SCAFFOLDING,8:57,No,No,No,-9,,,
48,5/9/2011,5/11/2011,TRC,PIXIE,9:06,No,No,No,-9,,,
49,5/9/2011,5/11/2011,TRC,SEADRAGON,9:34,No,No,No,-9,,,
50,5/9/2011,5/11/2011,TRC,PILLOW,9:39,No,No,No,-9,,,
51,5/9/2011,5/11/2011,TRC,CLUB,9:44,No,No,No,-9,,,
52,5/9/2011,5/11/2011,TRC,HOOF,9:53,No,No,No,-9,,,
53,5/9/2011,5/11/2011,TRC,TIRE,10:12,No,No,No,-9,,,
54,5/9/2011,5/11/2011,TRC,THIRSTY,10:22,No,No,No,-9,,,
55,5/9/2011,5/11/2011,TRC,BOB,10:32,No,No,No,-9,,,
56,5/9/2011,5/11/2011,TRC,ROLLINGROCK,10:40,No,No,No,-9,,,
57,5/9/2011,5/11/2011,TRC,SHSSTART,10:48,No,No,No,-9,,,
58,5/9/2011,5/11/2011,TRC,RAINBOWSPIN,11:13,No,No,No,-9,,,
59,5/9/2011,5/11/2011,TRC,BUOYFARM,11:23,No,No,No,-9,,,
60,5/9/2011,5/11/2011,TRC,RUPAUL,11:31,No,No,No,-9,,,
61,5/9/2011,5/11/2011,TRC,MINIDUMP,11:39,No,No,No,-9,,,
62,5/9/2011,5/11/2011,TRC,OJ,11:50,No,No,No,-9,,,
63,5/9/2011,5/11/2011,TRC,BOTTLEBUOY,12:03,No,No,No,-9,,,
64,5/9/2011,5/11/2011,TRC,MOLE,12:16,No,No,No,-9,,,
65,5/9/2011,5/11/2011,TRC,BOTTLELOG,12:26,No,No,No,-9,,,
66,5/9/2011,5/11/2011,TRC,TRILOG,12:32,No,No,No,-9,,,
92,5/16/2011,5/20/2011,JKM,MINOPEN,7:00,No,No,No,-9,,,
93,5/16/2011,5/20/2011,JKM,MINBORDER,7:11,No,No,No,-9,,,
94,5/16/2011,5/20/2011,JKM,TUVU,7:27,No,No,No,-9,,,
95,5/16/2011,5/20/2011,JKM,ALLIGATOR,7:31,No,No,No,-9,,,
96,5/16/2011,5/20/2011,JKM,CHEST,7:34,No,No,No,-9,,,
97,5/16/2011,5/20/2011,JKM,ANCHOR,7:41,No,No,No,-9,,,
98,5/16/2011,5/20/2011,JKM,SHCREEK,7:50,No,No,No,-9,,,
99,5/16/2011,5/20/2011,JKM,NEEDLE,7:59,No,No,No,-9,,,
100,5/16/2011,5/20/2011,JKM,BOINGI,8:03,No,No,No,-9,,,
101,5/16/2011,5/20/2011,JKM,SCAFFOLDING,8:10,No,No,No,-9,,,
102,5/16/2011,5/20/2011,JKM,PIXIE,8:29,No,No,No,-9,,,
103,5/16/2011,5/20/2011,JKM,SEADRAGON,8:55,No,No,No,-9,,,
104,5/16/2011,5/20/2011,JKM,PILLOW,9:00,No,No,No,-9,,,
105,5/16/2011,5/20/2011,JKM,CLUB,9:04,No,No,No,-9,,,
106,5/16/2011,5/20/2011,JKM,HOOF,9:10,No,No,No,-9,,,
107,5/16/2011,5/20/2011,JKM,TIRE,9:37,No,No,No,-9,,,
108,5/16/2011,5/20/2011,JKM,THIRSTY,9:44,No,No,No,-9,,,
109,5/16/2011,5/20/2011,JKM,BOB,9:52,No,No,No,-9,,,
110,5/16/2011,5/20/2011,JKM,ROLLINGROCK,9:58,No,No,No,-9,,,
111,5/16/2011,5/20/2011,JKM,SHSSTART,10:05,No,No,No,-9,,,
112,5/16/2011,5/20/2011,JKM,RAINBOWSPIN,10:32,No,No,No,-9,,,
113,5/16/2011,5/20/2011,JKM,BUOYFARM,10:44,No,No,No,-9,,,
114,5/16/2011,5/20/2011,JKM,RUPAUL,10:55,No,No,No,-9,,,
115,5/16/2011,5/20/2011,JKM,MINIDUMP,11:12,No,No,No,-9,,,
116,5/16/2011,5/20/2011,JKM,OJ,11:19,No,No,No,-9,,,
117,5/16/2011,5/20/2011,JKM,BOTTLEBUOY,11:31,No,No,No,-9,,,
118,5/16/2011,5/20/2011,JKM,MOLE,11:44,No,No,No,-9,,,
119,5/16/2011,5/20/2011,JKM,BOTTLELOG,11:54,No,No,No,-9,,,
120,5/16/2011,5/20/2011,JKM,TRILOG,12:00,No,No,No,-9,,,
121,5/16/2011,5/20/2011,JKM,SHSEND,12:07,No,No,No,-9,,,
122,5/16/2011,5/20/2011,JKM,ARROWHEAD,12:12,No,No,No,-9,,,
123,5/16/2011,5/20/2011,JKM,L13BUOY,12:15,No,No,No,-9,,,
124,5/16/2011,5/20/2011,JKM,NICEPERCH,12:20,No,No,No,-9,,,
125,5/16/2011,5/20/2011,JKM,TOMBSTONE,12:23,No,No,No,-9,,,
146,5/16/2011,5/20/2011,RBB,WALL OPEN,7:00,No,No,No,-9,,,
147,5/16/2011,5/20/2011,RBB,WALLBORDER,7:30,No,No,No,-9,,,
149,5/16/2011,5/20/2011,RBB,WILLOW,7:39,No,No,No,-9,,,
150,5/16/2011,5/20/2011,RBB,CANON,7:42,No,No,No,-9,,,
151,5/16/2011,5/20/2011,RBB,BEACH FUZZ,7:46,No,No,No,-9,,,
152,5/16/2011,5/20/2011,RBB,KNOT,7:51,No,No,No,-9,,,
153,5/16/2011,5/20/2011,RBB,LEG,7:54,No,No,No,-9,,,
154,5/16/2011,5/20/2011,RBB,TP,7:57,No,No,No,-9,,,
155,5/16/2011,5/20/2011,RBB,LOUNGE,8:00,No,No,No,-9,,,
157,5/16/2011,5/20/2011,RBB,SPLITLOG,8:04,No,No,No,-9,,,
158,5/16/2011,5/20/2011,RBB,CIGAR,8:10,No,No,No,-9,,,
159,5/16/2011,5/20/2011,RBB,BOWL,8:17,No,No,No,-9,,,
160,5/16/2011,5/20/2011,RBB,TIKI,8:40,No,No,No,-9,,,
161,5/16/2011,5/20/2011,RBB,TIP,8:45,No,No,No,-9,,,
162,5/16/2011,5/20/2011,RBB,PILE,8:50,No,No,No,-9,,,
163,5/16/2011,5/20/2011,RBB,FORK,8:52,No,No,No,-9,,,
164,5/16/2011,5/20/2011,RBB,TOTEM,8:55,No,No,No,-9,,,
165,5/16/2011,5/20/2011,RBB,BOJUM,9:06,No,No,No,-9,,,
166,5/16/2011,5/20/2011,RBB,BUOY,9:16,No,No,No,-9,,,
167,5/16/2011,5/20/2011,RBB,NSURFOPEN,9:29,No,No,No,-9,,,
168,5/16/2011,5/20/2011,RBB,SSURFCLOSED,10:06,No,No,No,-9,,,
170,5/16/2011,5/20/2011,RBB,SIGN,10:17,No,No,No,-9,,,
171,5/16/2011,5/20/2011,RBB,PAINT,10:25,No,No,No,-9,,,
172,5/16/2011,5/20/2011,RBB,FORT,10:30,No,No,No,-9,,,
173,5/16/2011,5/20/2011,RBB,PTRASH,10:40,No,No,No,-9,,,
174,5/16/2011,5/20/2011,RBB,STOOL,10:46,No,No,No,-9,,,
175,5/16/2011,5/20/2011,RBB,DROOP,10:48,No,No,No,-9,,,
177,5/16/2011,5/20/2011,RBB,DRIFTWOOD,10:56,No,No,No,-9,,,
179,5/16/2011,5/20/2011,RBB,BORDER TRAIL,11:04,No,No,No,-9,,,
180,5/16/2011,5/20/2011,RBB,METEOR,11:06,No,No,No,-9,,,
181,5/16/2011,5/20/2011,RBB,STUMP,11:09,No,No,No,-9,,,
182,5/16/2011,5/20/2011,RBB,PEBBLE,11:12,No,No,No,-9,,,
183,5/16/2011,5/20/2011,RBB,SQUID,11:15,No,No,No,-9,,,
184,5/16/2011,5/20/2011,RBB,ELEPHANTSEAL,11:17,No,No,No,-9,,,
185,5/16/2011,5/20/2011,RBB,WITCH,11:18,No,No,No,-9,,,
186,5/16/2011,5/20/2011,RBB,CAMP,11:22,No,No,No,-9,,,
187,5/16/2011,5/20/2011,RBB,OBVIOUSLOG,11:28,No,No,No,-9,,,
188,5/16/2011,5/20/2011,RBB,4303BUOY,11:30,No,No,No,-9,,,
189,5/16/2011,5/20/2011,RBB,ROCKBLUE,11:32,No,No,No,-9,,,
190,5/16/2011,5/20/2011,RBB,FINGER,11:35,No,No,No,-9,,,
191,5/16/2011,5/20/2011,RBB,GRANDCANYON,11:37,No,No,No,-9,,,
193,5/16/2011,5/20/2011,RBB,AMPHITHEATRE,11:41,No,No,No,-9,,,
194,5/16/2011,5/20/2011,RBB,UTAH,11:45,No,No,No,-9,,,
195,5/16/2011,5/20/2011,RBB,ICELAVA,11:50,No,No,No,-9,,,
197,5/16/2011,5/20/2011,RBB,DISC,12:00,No,No,No,-9,,,
198,5/16/2011,5/20/2011,RBB,ENDCOVE,12:15,No,No,No,-9,,,
126,5/16/2011,5/20/2011,TRC,TREX,7:06,Yes,No,No,-9,,,
127,5/16/2011,5/20/2011,TRC,GEEK,7:13,Yes,No,No,-9,,,
128,5/16/2011,5/20/2011,TRC,DEADBUG,7:32,Yes,No,No,-9,,,
129,5/16/2011,5/20/2011,TRC,TEETER,7:38,Yes,No,No,-9,,,
130,5/16/2011,5/20/2011,TRC,SHORTRIBS,7:59,Yes,No,No,-9,,,
131,5/16/2011,5/20/2011,TRC,ELEPHGRAVE,8:14,Yes,No,No,-9,,,
132,5/16/2011,5/20/2011,TRC,STIX,8:38,Yes,No,No,-9,,,
133,5/16/2011,5/20/2011,TRC,JUGHEAD,8:51,Yes,No,No,-9,,,
134,5/16/2011,5/20/2011,TRC,TRASH,9:03,Yes,Yes,No,-9,,,
135,5/16/2011,5/20/2011,TRC,PICKUPSTIX,9:17,Yes,Yes,No,-9,,,
136,5/16/2011,5/20/2011,TRC,WISHBONE,9:40,Yes,Yes,No,-9,,,
137,5/16/2011,5/20/2011,TRC,GROSS,9:54,Yes,No,No,-9,,,
138,5/16/2011,5/20/2011,TRC,TURTLE,10:07,Yes,No,No,-9,,,
139,5/16/2011,5/20/2011,TRC,BOAT,10:16,Yes,No,No,-9,,,
140,5/16/2011,5/20/2011,TRC,NARROWS,10:42,Yes,No,No,-9,,,
141,5/16/2011,5/20/2011,TRC,COBBLE,10:59,Yes,No,No,-9,,,
145,5/16/2011,5/20/2011,TRC,SLC10,11:03,Yes,No,No,-9,,,
142,5/16/2011,5/20/2011,TRC,POCKET1,11:17,Yes,No,No,-9,,,
143,5/16/2011,5/20/2011,TRC,POCKET2,11:36,Yes,No,No,-9,,,
144,5/16/2011,5/20/2011,TRC,PURISIMACOL,11:57,No,No,No,-9,,,
214,5/30/2011,6/3/2011,JKM,TREX,10:00,No,No,No,-9,,,
215,5/30/2011,6/3/2011,JKM,GEEK,10:05,No,No,No,-9,,,
216,5/30/2011,6/3/2011,JKM,DEADBUG,10:16,No,No,No,-9,,,
217,5/30/2011,6/3/2011,JKM,TEETER,10:32,No,No,No,-9,,,
218,5/30/2011,6/3/2011,JKM,SHORTRIBS,10:40,No,No,No,-9,,,
219,5/30/2011,6/3/2011,JKM,ELEPHGRAVE,10:49,No,No,No,-9,,,
220,5/30/2011,6/3/2011,JKM,STIX,10:54,No,No,No,-9,,,
221,5/30/2011,6/3/2011,JKM,JUGHEAD,11:03,No,No,No,-9,,,
222,5/30/2011,6/3/2011,JKM,TRASH,11:10,No,No,No,-9,,,
223,5/30/2011,6/3/2011,JKM,PICKUPSTIX,11:18,No,No,No,-9,,,
224,5/30/2011,6/3/2011,JKM,WISHBONE,11:24,No,No,No,-9,,,
225,5/30/2011,6/3/2011,JKM,GROSS,11:29,No,No,No,-9,,,
226,5/30/2011,6/3/2011,JKM,TURTLE,11:37,No,No,No,-9,,,
227,5/30/2011,6/3/2011,JKM,BOAT,11:44,No,No,No,-9,,,
228,5/30/2011,6/3/2011,JKM,NARROWS,12:08,No,No,No,-9,,,
229,5/30/2011,6/3/2011,JKM,COBBLE,12:18,No,No,No,-9,,,
551,5/30/2011,6/3/2011,RBB,TIP,7:30,No,No,No,-9,,,
552,5/30/2011,6/3/2011,RBB,PILE,7:44,No,No,No,-9,,,
553,5/30/2011,6/3/2011,RBB,FORK,7:51,No,No,No,-9,,,
554,5/30/2011,6/3/2011,RBB,TOTEM,7:53,No,No,No,-9,,,
555,5/30/2011,6/3/2011,RBB,BOJUM,7:58,No,No,No,-9,,,
556,5/30/2011,6/3/2011,RBB,BUOY,8:02,No,No,No,-9,,,
557,5/30/2011,6/3/2011,RBB,NSURFOPEN,8:08,No,No,No,-9,,,
558,5/30/2011,6/3/2011,RBB,SSURFCLOSED,8:23,No,No,No,-9,,,
560,5/30/2011,6/3/2011,RBB,SIGN,8:35,No,No,No,-9,,,
561,5/30/2011,6/3/2011,RBB,PAINT,8:39,No,No,No,-9,,,
562,5/30/2011,6/3/2011,RBB,FORT,8:47,No,No,No,-9,,,
563,5/30/2011,6/3/2011,RBB,PTRASH,8:50,Yes,No,No,-9,,,
564,5/30/2011,6/3/2011,RBB,STOOL,8:52,Yes,No,No,-9,,,
565,5/30/2011,6/3/2011,RBB,DROOP,8:54,Yes,No,No,-9,,,
567,5/30/2011,6/3/2011,RBB,DRIFTWOOD,9:05,Yes,No,No,-9,,,
569,5/30/2011,6/3/2011,RBB,BORDER TRAIL,9:20,Yes,No,No,-9,,,
570,5/30/2011,6/3/2011,RBB,METEOR,9:22,Yes,Yes,No,-9,,,
571,5/30/2011,6/3/2011,RBB,STUMP,9:26,No,Yes,No,-9,,,
572,5/30/2011,6/3/2011,RBB,PEBBLE,9:29,Yes,No,No,-9,,,
573,5/30/2011,6/3/2011,RBB,SQUID,9:30,Yes,No,No,-9,,,
574,5/30/2011,6/3/2011,RBB,ELEPHANTSEAL,9:33,Yes,No,No,-9,,,
575,5/30/2011,6/3/2011,RBB,WITCH,9:35,Yes,No,No,-9,,,
576,5/30/2011,6/3/2011,RBB,CAMP,9:39,Yes,No,No,-9,,,
577,5/30/2011,6/3/2011,RBB,OBVIOUSLOG,9:40,Yes,No,No,-9,,,
578,5/30/2011,6/3/2011,RBB,4303BUOY,9:43,Yes,No,No,-9,,,
579,5/30/2011,6/3/2011,RBB,ROCKBLUE,9:46,Yes,No,No,-9,,,
580,5/30/2011,6/3/2011,RBB,FINGER,9:55,Yes,No,No,-9,,,
581,5/30/2011,6/3/2011,RBB,GRANDCANYON,9:58,Yes,No,No,-9,,,
583,5/30/2011,6/3/2011,RBB,AMPHITHEATRE,10:07,Yes,No,No,-9,,,
584,5/30/2011,6/3/2011,RBB,UTAH,10:10,Yes,No,No,-9,,,
585,5/30/2011,6/3/2011,RBB,ICELAVA,10:15,Yes,No,No,-9,,,
587,5/30/2011,6/3/2011,RBB,DISC,10:28,Yes,No,No,-9,,,
588,5/30/2011,6/3/2011,RBB,ENDCOVE,10:35,Yes,No,No,-9,,,
199,5/30/2011,6/3/2011,TRC,WALL OPEN,12:00,No,No,No,-9,,,
200,5/30/2011,6/3/2011,TRC,WALLBORDER,12:04,No,No,No,-9,,,
202,5/30/2011,6/3/2011,TRC,WILLOW,12:10,No,Yes,No,-9,,,
203,5/30/2011,6/3/2011,TRC,CANON,12:15,Yes,No,No,-9,,,
204,5/30/2011,6/3/2011,TRC,BEACH FUZZ,12:21,Yes,No,No,-9,,,
205,5/30/2011,6/3/2011,TRC,KNOT,12:30,Yes,Yes,No,-9,,,
206,5/30/2011,6/3/2011,TRC,LEG,12:50,Yes,No,No,-9,,,
207,5/30/2011,6/3/2011,TRC,TP,12:57,Yes,No,No,-9,,,
208,5/30/2011,6/3/2011,TRC,LOUNGE,13:04,Yes,No,No,-9,,,
210,5/30/2011,6/3/2011,TRC,SPLITLOG,13:26,Yes,No,No,-9,,,
